measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_1_fa,blank_1_ra,blank_2_fa,blank_2_ra,blank_3_fa,blank_3_ra
Ar 420.069 - A,% Concentration,100.0,105.0,,,105.0,102.0,,,102.0,102.0,,,101.0,109.0,,,113.0,111.0,,,105.0,101.0,,,110.0,109.0,,,105.0,111.0,,,99.0,102.0,,,99.0,95.0,,,113.0,106.0,,,107.0,104.0,,,109.0,106.0,,,109.0,107.0,,,106.0,109.0,,,105.0,105.0,,,106.0,109.0,107.0,111.0,,
Sc 361.383 - R,% Concentration,99.0,106.0,,,98.0,102.0,,,108.0,104.0,,,104.0,104.0,,,102.0,101.0,,,100.0,103.0,,,100.0,95.0,,,97.0,101.0,,,96.0,93.0,,,80.0,100.0,,,96.0,96.0,,,100.0,94.0,,,94.0,95.0,,,93.0,95.0,,,92.0,95.0,,,95.0,95.0,,,101.0,103.0,101.0,98.0,,
Sc 357.253 - A,% Concentration,99.0,98.0,,,99.0,99.0,,,100.0,101.0,,,101.0,97.0,,,94.0,95.0,,,101.0,100.0,,,96.0,94.0,,,96.0,93.0,,,92.0,89.0,,,92.0,95.0,,,93.0,93.0,,,92.0,93.0,,,92.0,90.0,,,91.0,92.0,,,93.0,93.0,,,98.0,94.0,,,99.0,101.0,100.0,98.0,,
Al 396.153 - A,0.0011,,,,,,,,,,,,,,,,,,,,,0.0209,0.0192,0.0201,0.0009,,,,,0.0231,0.0251,0.0241,0.001,,,,,,,,,,,,,0.012,0.0113,0.0117,0.0004,,,,,,,,,,,,,,,,,,,,,,
As 188.979 - A,0.008,,,,,,,,,,,,,,,,,,,,,,,,,0.0144,0.0084,0.0114,0.003,,0.0092,0.0092,0.0,0.0411,0.0348,0.038,0.0032,0.0389,0.0349,0.0369,0.002,0.0215,0.0162,0.0189,0.0027,0.0178,0.0141,0.016,0.0019,0.0123,0.0174,0.0149,0.0026,0.0185,0.0152,0.0169,0.0017,0.0161,0.0113,0.0137,0.0024,0.0131,0.0143,0.0137,0.0006,,,,,,
B 249.677 - R,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba 233.527 - A,0.0003,0.0265,0.0267,0.0266,0.0001,0.0264,0.0266,0.0265,0.0001,0.0281,0.0279,0.028,0.0001,0.0274,0.0289,0.0282,0.0007,0.0274,0.0269,0.0272,0.0003,0.0262,0.0262,0.0262,0.0,0.0247,0.0249,0.0248,0.0001,0.0246,0.0253,0.025,0.0004,0.0017,0.0017,0.0017,0.0,0.0019,0.0029,0.0024,0.0005,0.0207,0.0209,0.0208,0.0001,0.0213,0.021,0.0212,0.0001,0.0243,0.0247,0.0245,0.0002,0.0249,0.0245,0.0247,0.0002,0.0329,0.0329,0.0329,0.0,0.0315,0.0329,0.0322,0.0007,,,,,,
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,0.0003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,8.5209,8.5226,8.5218,0.0009,8.4299,8.5354,8.4827,0.0527,12.0791,11.9935,12.0363,0.0428,11.7453,12.2568,12.0011,0.2558,16.5274,16.3502,16.4388,0.0886,16.0188,15.8269,15.9229,0.0959,29.1317,29.3351,29.2334,0.1017,28.7907,29.1511,28.9709,0.1802,336.4642,346.7025,341.5834,5.1191,343.2988,342.0583,342.6786,0.6203,99.2378,98.1703,98.7041,0.5337,98.6007,97.1951,97.8979,0.7028,97.4487,97.6013,97.525,0.0763,98.5449,98.0612,98.3031,0.2418,75.2632,76.766,76.0146,0.7514,75.7664,75.5241,75.6453,0.1212,,,,,,
Cd 214.440 - A,0.0006,,,,,,,,,,0.001,0.001,0.0,,,,,,,,,,,,,0.0012,0.0016,0.0014,0.0002,0.0015,0.0014,0.0015,0.0001,,,,,,,,,0.0007,,0.0007,0.0,0.0007,0.0008,0.0008,0.0001,0.0007,0.0007,0.0007,0.0,0.0007,0.0008,0.0008,0.0001,,,,,,,,,,,,,,
Cu 324.752 - A,0.0057,,,,,,,,,,,,,,,,,,0.0059,0.0059,0.0,0.0086,0.008,0.0083,0.0003,0.0224,0.0209,0.0217,0.0008,0.0335,0.0351,0.0343,0.0008,,,,,,,,,0.0151,0.015,0.0151,0.0001,0.0265,0.0262,0.0264,0.0001,0.0059,0.0072,0.0066,0.0007,0.0098,0.0099,0.0099,0.0001,,,,,,,,,,,,,,
Cr 205.560 - A,0.0007,,,,,,,,,0.0008,0.0013,0.0011,0.0003,,,,,,,,,0.0025,0.0042,0.0034,0.0009,,,,,,,,,0.0015,0.001,0.0013,0.0003,0.0008,0.0015,0.0012,0.0004,,,,,,,,,,,,,,0.0008,0.0008,0.0,,,,,,,,,,,,,,
Fe 238.204 - A,0.0016,0.0034,0.0037,0.0036,0.0002,0.0242,0.0238,0.024,0.0002,0.031,0.0341,0.0326,0.0016,0.0842,0.0756,0.0799,0.0043,0.1024,0.0929,0.0977,0.0048,0.2874,0.289,0.2882,0.0008,0.0089,0.015,0.012,0.0031,0.1638,0.171,0.1674,0.0036,,,,,0.5889,0.5857,0.5873,0.0016,0.0068,0.0053,0.0061,0.0008,0.2123,0.209,0.2107,0.0017,0.0219,0.023,0.0225,0.0006,0.11,0.1079,0.109,0.0011,0.0104,0.0112,0.0108,0.0004,0.0924,0.0835,0.088,0.0045,,,,,,
K 766.490 - R,0.1081,0.8574,0.8274,0.8424,0.015,0.7976,0.8232,0.8104,0.0128,1.1003,1.246,1.1732,0.0729,0.9723,1.1117,1.042,0.0697,1.2517,1.3261,1.2889,0.0372,1.8786,2.3729,2.1258,0.2471,2.225,2.1557,2.1904,0.0347,2.3752,2.3634,2.3693,0.0059,7.9242,7.7274,7.8258,0.0984,8.171,7.7423,7.9567,0.2144,3.1719,3.1708,3.1714,0.0006,3.1209,3.0274,3.0742,0.0467,3.3056,3.4598,3.3827,0.0771,3.3053,3.264,3.2847,0.0207,5.1896,5.0066,5.0981,0.0915,5.1855,5.3407,5.2631,0.0776,,,,,,
Li 670.784 - R,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,0.0068,,0.0068,0.0,,,,,0.0283,0.0286,0.0285,0.0002,0.0185,0.0271,0.0228,0.0043,0.0104,0.0066,0.0085,0.0019,0.0052,0.0061,0.0057,0.0005,0.0104,,0.0104,0.0,0.0057,,0.0057,0.0,0.0059,,0.0059,0.0,0.0104,,0.0104,0.0,,,,,,
Mg 285.213 - R,0.0044,2.5042,2.4719,2.4881,0.0161,2.4942,2.4908,2.4925,0.0017,3.5441,3.5549,3.5495,0.0054,3.5449,3.5496,3.5473,0.0023,4.5188,4.493,4.5059,0.0129,4.5755,4.4946,4.5351,0.0404,7.8573,8.2681,8.0627,0.2054,7.9671,7.8819,7.9245,0.0426,69.0649,69.1077,69.0863,0.0214,73.6754,69.0238,71.3496,2.3258,20.1229,20.051,20.087,0.036,19.8149,20.0345,19.9247,0.1098,20.7029,20.6676,20.6853,0.0176,20.856,20.8986,20.8773,0.0213,23.8642,23.8926,23.8784,0.0142,23.8472,23.8407,23.844,0.0033,,,,,,
Mg 279.077 - R,0.0203,2.6896,2.5184,2.604,0.0856,2.7295,2.6136,2.6716,0.0579,3.545,3.6925,3.6188,0.0738,3.7005,3.6642,3.6824,0.0181,4.702,4.6904,4.6962,0.0058,4.8714,4.7319,4.8017,0.0698,8.523,9.0197,8.7714,0.2484,8.4515,8.1739,8.3127,0.1388,67.3309,68.6242,67.9776,0.6467,81.9006,68.4288,75.1647,6.7359,20.9949,21.1065,21.0507,0.0558,20.2097,20.5504,20.3801,0.1703,22.0801,21.9336,22.0069,0.0733,22.4263,22.0094,22.2179,0.2085,26.0661,25.4413,25.7537,0.3124,25.4756,25.4669,25.4713,0.0044,,,,,,
Mn 257.610 - A,0.0002,0.0015,0.0016,0.0016,0.0001,0.0023,0.0023,0.0023,0.0,0.1382,0.136,0.1371,0.0011,0.1381,0.1426,0.1404,0.0023,0.2108,0.2059,0.2084,0.0024,0.204,0.202,0.203,0.001,0.8974,0.9022,0.8998,0.0024,0.8928,0.896,0.8944,0.0016,0.1448,0.1488,0.1468,0.002,0.3267,0.3227,0.3247,0.002,0.6108,0.6223,0.6166,0.0057,0.6509,0.6337,0.6423,0.0086,0.3356,0.3398,0.3377,0.0021,0.3455,0.343,0.3443,0.0012,0.1004,0.0971,0.0988,0.0017,0.098,0.1005,0.0993,0.0013,,,,,,
Mo 202.031 - A,0.0012,,,,,,,,,0.0018,0.0026,0.0022,0.0004,,,,,,,,,,,,,,,,,,,,,0.0012,0.0016,0.0014,0.0002,0.0019,0.0042,0.0031,0.0012,,0.0019,0.0019,0.0,,,,,0.0013,0.0013,0.0013,0.0,,,,,,,,,,0.0014,0.0014,0.0,,,,,,
Na 589.592 - R,0.0193,4.547,4.5835,4.5653,0.0183,4.573,4.5621,4.5676,0.0055,6.6968,6.7295,6.7132,0.0164,6.6679,6.7026,6.6853,0.0174,8.5134,8.5077,8.5106,0.0029,9.0673,9.0626,9.065,0.0023,21.921,23.0217,22.4714,0.5504,22.1989,21.9998,22.0994,0.0995,34.6902,34.8637,34.777,0.0868,34.7041,34.4991,34.6016,0.1025,26.5797,26.6676,26.6237,0.044,26.5507,26.5028,26.5268,0.0239,31.7611,31.9179,31.8395,0.0784,31.7449,32.1178,31.9314,0.1865,38.1327,38.3548,38.2438,0.111,39.7039,40.1706,39.9373,0.2334,0.0282,,0.0462,,,
Ni 231.604 - A,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P 213.617 - A,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0147,,0.0161,0.0145,,
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0292,,0.0292,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb 220.353 - A,0.005,,,,,,,,,,,,,,,,,,,,,,,,,0.0054,,0.0054,0.0,,0.0085,0.0085,0.0,,,,,,,,,,0.0056,0.0056,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
S 181.975 - A,0.0148,3.4417,3.5111,3.4764,0.0347,3.4196,3.4305,3.4251,0.0054,7.7918,7.6746,7.7332,0.0586,7.4946,7.973,7.7338,0.2392,11.1958,10.9873,11.0916,0.1043,10.6869,10.6706,10.6788,0.0081,23.7519,24.433,24.0925,0.3406,23.6737,23.8421,23.7579,0.0842,409.9548,423.9982,416.9765,7.0217,423.2866,413.8089,418.5478,4.7389,100.4986,100.7071,100.6029,0.1043,101.4372,101.3309,101.3841,0.0532,102.4712,103.4615,102.9664,0.4952,104.0539,103.0209,103.5374,0.5165,79.7606,76.7675,78.2641,1.4966,75.0239,77.0896,76.0568,1.0329,,,,,,
S 180.669 - A,0.0072,3.7657,3.8179,3.7918,0.0261,3.7351,3.7538,3.7445,0.0093,8.3243,8.2108,8.2676,0.0567,8.0473,8.5383,8.2928,0.2455,11.9863,11.7788,11.8826,0.1038,11.4325,11.4065,11.4195,0.013,24.9664,25.304,25.1352,0.1688,24.4941,25.1668,24.8305,0.3363,404.4739,416.3897,410.4318,5.9579,417.9024,405.9635,411.933,5.9694,104.0993,104.5318,104.3156,0.2163,105.2017,104.9781,105.0899,0.1118,105.5617,106.9073,106.2345,0.6728,107.0874,106.3303,106.7089,0.3786,82.412,79.9615,81.1868,1.2253,77.4089,79.7679,78.5884,1.1795,,,,,,
Sb 217.582 - A,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.0082,,,,,,,,,,0.0084,0.0084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.011,0.0,,,,,,,,,,,,,,,,,,
Si 251.611 - A,0.1031,,,,,,,,,,,,,,,,,,,,,,,,,42.8283,,42.8283,0.0,,8.8052,8.8052,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sn 189.927 - A,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.0003,0.0864,0.0851,0.0858,0.0007,0.0797,0.0799,0.0798,0.0001,0.1089,0.1028,0.1059,0.0031,0.0996,0.1026,0.1011,0.0015,0.1355,0.1302,0.1329,0.0027,0.1283,0.131,0.1297,0.0014,0.2278,0.2376,0.2327,0.0049,0.251,0.2447,0.2479,0.0032,2.7786,2.7564,2.7675,0.0111,2.7192,2.8053,2.7623,0.0431,0.7255,0.7795,0.7525,0.027,0.7716,0.7492,0.7604,0.0112,0.7278,0.7946,0.7612,0.0334,0.7988,0.7729,0.7859,0.013,0.679,0.6322,0.6556,0.0234,0.623,0.614,0.6185,0.0045,,,,,,
Ti 334.940 - A,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl 190.801 - A,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402 - A,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857 - A,0.0023,0.006,0.0067,0.0064,0.0004,0.006,0.0064,0.0062,0.0002,0.2981,0.2959,0.297,0.0011,0.2921,0.3058,0.299,0.0068,0.3073,0.2925,0.2999,0.0074,0.3041,0.3,0.3021,0.0021,0.5658,0.5846,0.5752,0.0094,0.5753,0.5857,0.5805,0.0052,0.0076,0.0077,0.0077,0.0001,0.03,0.0315,0.0308,0.0008,0.4643,0.4673,0.4658,0.0015,0.4799,0.4768,0.4784,0.0016,0.5975,0.6035,0.6005,0.003,0.6081,0.6052,0.6067,0.0015,0.2871,0.2805,0.2838,0.0033,0.2773,0.2819,0.2796,0.0023,,,,,,
Zn 206.200 - A,0.0023,0.0054,0.0064,0.0059,0.0005,0.0056,0.0057,0.0057,0.0001,0.3084,0.3071,0.3078,0.0007,0.3044,0.3222,0.3133,0.0089,0.3218,0.3142,0.318,0.0038,0.3178,0.3165,0.3172,0.0007,0.5693,0.5936,0.5815,0.0122,0.5629,0.5843,0.5736,0.0107,0.0049,0.0055,0.0052,0.0003,0.0244,0.0269,0.0257,0.0013,0.4535,0.4494,0.4515,0.0021,0.4662,0.4638,0.465,0.0012,0.5796,0.583,0.5813,0.0017,0.5937,0.585,0.5894,0.0044,0.2859,0.2869,0.2864,0.0005,0.282,0.2934,0.2877,0.0057,,,,,,
Co 228.616,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.0027,0.0026,0.0001,0.0022,0.0024,0.0023,0.0001,0.0014,0.0017,0.0016,0.0002,0.0021,0.0033,0.0027,0.0006,0.002,0.0021,0.0021,0.0,0.0022,0.002,0.0021,0.0001,0.0016,0.0017,0.0017,0.0,0.0016,0.0015,0.0016,0.0001,0.0012,0.0016,0.0014,0.0002,0.0014,,0.0014,0.0,0.0013,,0.0015,0.0013,,
