ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,
Analyte Name,DL (mg/l),RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,FA,RA
Al 396.153 - A,0.0205,0.4044,0.3883,0.3964,0.0114,0.0272,0.0264,0.0268,0.0006,0.4014,0.3648,0.3831,0.0259,0.025,0.0252,0.0251,0.0001,0.425,0.4607,0.4429,0.0252,0.046,0.0423,0.0442,0.0026,BDL,BDL,,,BDL,,,,0.3869,0.3911,0.3890,0.0030,0.0329,0.0347,0.0338,0.0013,0.5013,0.4632,0.4823,0.0269,BDL,BDL,,,1.503,1.5241,1.5136,0.0149,0.0312,0.0333,0.0323,0.0015,BDL,BDL
As 188.979 - A,0.0047,BDL,BDL,,,BDL,0.0072,0.0072,,0.0066,0.0064,0.0065,0.0001,BDL,BDL,,,BDL,0.0119,0.0119,,BDL,BDL,,,0.0426,0.0427,0.0427,0.0001,0.0408,,,,0.0106,0.0095,0.0101,0.0008,0.0128,0.0133,0.0131,0.0004,0.0053,0.0081,0.0067,0.0020,0.0074,0.0103,0.0089,0.0021,0.016,0.013,0.0145,0.0021,0.0095,0.009,0.0093,0.0004,0.0068,BDL
B 249.677 - R,0.0459,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
Ba 233.527 - A,0.0001,0.0415,0.0402,0.0409,0.0009,0.0316,0.031,0.0313,0.0004,0.0407,0.039,0.0399,0.0012,0.0329,0.0334,0.0332,0.0004,0.038,0.0397,0.0389,0.0012,0.0314,0.0299,0.0307,0.0011,0.0072,0.0068,0.0070,0.0003,0.0066,,,,0.0338,0.0334,0.0336,0.0003,0.0304,0.0306,0.0305,0.0001,0.0397,0.0391,0.0394,0.0004,0.0318,0.0334,0.0326,0.0011,0.0471,0.0489,0.0480,0.0013,0.0298,0.0294,0.0296,0.0003,0.025,0.0249
Be 313.107 - R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
Ca 317.933 - A,0.0064,11.3966,11.5807,11.4887,0.1302,11.2391,11.2352,11.2372,0.0028,14.8717,15.3475,15.1096,0.3364,15.0208,14.8966,14.9587,0.0878,18.6189,19.0467,18.8328,0.3025,18.7676,18.6765,18.7221,0.0644,401.9738,392.8294,397.4016,6.4661,399.6756,,,,70.4721,69.4265,69.9493,0.7394,70.8446,69.9451,70.3949,0.6360,30.7196,30.4155,30.5676,0.2150,30.2624,30.1831,30.2228,0.0561,31.4497,32.0397,31.7447,0.4172,31.0459,31.3834,31.2147,0.2386,16.5163,16.864
Cd 214.440 - A,0.0001,0.0006,0.0005,0.0006,0.0001,0.0004,0.0008,0.0006,0.0003,0.002,0.0025,0.0023,0.0004,0.0018,0.0016,0.0017,0.0001,0.0027,0.002,0.0024,0.0005,0.0018,0.0024,0.0021,0.0004,BDL,BDL,,,BDL,,,,0.0024,0.0025,0.0025,0.0001,0.0015,0.0019,0.0017,0.0003,0.0027,0.0024,0.0026,0.0002,0.0016,0.0007,0.0012,0.0006,0.0045,0.0042,0.0044,0.0002,BDL,0.0002,0.0002,,0.0004,0.0003
Co 228.616 - A,0.0002,0.0008,0.0008,0.0008,0.0000,0.0004,0.0006,0.0005,0.0001,0.0015,0.001,0.0013,0.0004,0.0005,0.0005,0.0005,0.0000,0.0018,0.0011,0.0015,0.0005,0.0013,0.0016,0.0015,0.0002,0.001,0.0017,0.0014,0.0005,0.0011,,,,0.002,0.0022,0.0021,0.0001,0.0014,0.0011,0.0013,0.0002,0.004,0.0037,0.0039,0.0002,0.0034,0.003,0.0032,0.0003,0.0044,0.0049,0.0047,0.0004,0.0018,0.0024,0.0021,0.0004,0.0004,0.0009
Cr 205.560 - A,0.0003,0.002,0.0017,0.0019,0.0002,0.0005,BDL,0.0005,,0.0016,0.0016,0.0016,0.0000,0.0005,BDL,0.0005,,0.0015,0.0015,0.0015,0.0000,0.0004,0.0007,0.0006,0.0002,0.0015,0.0015,0.0015,0.0000,0.0016,,,,0.0023,0.0023,0.0023,0.0000,0.0013,0.0007,0.0010,0.0004,0.0017,0.0022,0.0020,0.0004,0.0006,0.0006,0.0006,0.0000,0.0029,0.0029,0.0029,0.0000,0.0005,BDL,0.0005,,0.001,0.0007
Cu 324.752 - A,0.0011,BDL,BDL,,,BDL,BDL,,,0.0042,BDL,0.0042,,BDL,BDL,,,0.0174,0.0216,0.0195,0.0030,BDL,0.0073,0.0073,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,0.0154,0.0092,0.0123,0.0044,0.0021,0.004,0.0031,0.0013,0.0274,0.0321,0.0298,0.0033,BDL,BDL,,,0.0277,0.0339
Fe 238.204 - A,0.0003,0.8114,0.7632,0.7873,0.0341,0.054,0.0615,0.0578,0.0053,0.88,0.806,0.8430,0.0523,0.0381,0.0308,0.0345,0.0052,0.8785,0.9786,0.9286,0.0708,0.0424,0.0335,0.0380,0.0063,0.1686,0.1706,0.1696,0.0014,BDL,,,,0.8605,0.8928,0.8767,0.0228,0.0157,0.0155,0.0156,0.0001,2.6232,2.4903,2.5568,0.0940,0.0568,0.0702,0.0635,0.0095,4.9728,5.1254,5.0491,0.1079,0.0144,0.0124,0.0134,0.0014,0.0005,0.015
K 766.490 - R,0.0323,1.676,1.3821,1.5291,0.2078,1.245,1.3291,1.2871,0.0595,1.6989,1.6706,1.6848,0.0200,1.4788,1.7587,1.6188,0.1979,2.1761,2.0014,2.0888,0.1235,1.8438,1.9414,1.8926,0.0690,7.7708,8.0242,7.8975,0.1792,7.7967,,,,2.6059,2.9201,2.7630,0.2222,2.5427,2.6082,2.5755,0.0463,2.1522,2.2927,2.2225,0.0993,2.2772,2.1502,2.2137,0.0898,5.0051,4.8245,4.9148,0.1277,4.2676,4.3898,4.3287,0.0864,1.4945,1.5292
Li 670.784 - R,0.0014,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0035,BDL,0.0035,,BDL,BDL,,,0.03,0.0281,0.0291,0.0013,0.0295,,,,0.0039,0.0048,0.0044,0.0006,0.0025,0.0028,0.0027,0.0002,BDL,BDL,,,0.0022,0.0019,0.0021,0.0002,BDL,0.0051,0.0051,,0.0022,0.0045,0.0034,0.0016,0.0019,0.0043
Mg 285.213 - R,0.0001,3.5309,3.5032,3.5171,0.0196,3.2735,3.3022,3.2879,0.0203,4.6886,4.6641,4.6764,0.0173,4.5019,4.6059,4.5539,0.0735,5.7901,5.7371,5.7636,0.0375,5.53,5.5627,5.5464,0.0231,74.9015,74.7276,74.8146,0.1230,74.3512,,,,13.99,14.1449,14.0675,0.1095,13.9103,13.8313,13.8708,0.0559,8.3737,8.3973,8.3855,0.0167,8.2903,8.1115,8.2009,0.1264,17.9951,17.7688,17.8820,0.1600,17.1314,17.2102,17.1708,0.0557,3.64,3.6168
Mg 279.077 - R,0.0014,3.6276,3.7483,3.6880,0.0853,3.3199,3.3475,3.3337,0.0195,4.693,4.594,4.6435,0.0700,4.44,4.698,4.5690,0.1824,5.8466,5.7168,5.7817,0.0918,5.7129,5.6039,5.6584,0.0771,71.0181,71.0554,71.0368,0.0264,72.6952,,,,14.2927,13.9994,14.1461,0.2074,14.497,14.2526,14.3748,0.1728,8.5425,8.5269,8.5347,0.0110,8.1887,8.0314,8.1101,0.1112,18.5709,19.1019,18.8364,0.3755,18.1826,18.093,18.1378,0.0634,3.5532,3.82
Mn 257.610 - A,0,0.0904,0.0808,0.0856,0.0068,0.056,0.0544,0.0552,0.0011,0.2046,0.1971,0.2009,0.0053,0.1746,0.1833,0.1790,0.0062,0.3347,0.3605,0.3476,0.0182,0.3197,0.3003,0.3100,0.0137,1.0918,1.0751,1.0835,0.0118,1.0788,,,,0.4424,0.444,0.4432,0.0011,0.4304,0.4473,0.4389,0.0120,0.6976,0.7298,0.7137,0.0228,0.6808,0.728,0.7044,0.0334,0.8605,0.8841,0.8723,0.0167,0.6696,0.6773,0.6735,0.0054,0.0016,0.0063
Mo 202.031 - A,0.1345,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
Na 589.592 - R,0.0005,6.7795,6.4513,6.6154,0.2321,6.5681,6.7674,6.6678,0.1409,10.3067,10.1416,10.2242,0.1167,9.8262,10.7293,10.2778,0.6386,16.0902,15.5772,15.8337,0.3627,15.2401,15.6676,15.4539,0.3023,37.5263,36.0604,36.7934,1.0365,37.0312,,,,18.8374,19.8068,19.3221,0.6855,18.1965,18.2651,18.2308,0.0485,16.954,17.475,17.2145,0.3684,18.0142,16.9919,17.5031,0.7229,27.2585,26.971,27.1148,0.2033,27.0862,28.0728,27.5795,0.6976,14.1265,13.5941
Ni 231.604 - A,0.0106,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
P 213.617 - A,0.002,0.0172,BDL,0.0172,,0.0086,BDL,0.0086,,0.0059,0.0084,0.0072,0.0018,0.0044,BDL,0.0044,,0.0114,0.0094,0.0104,0.0014,BDL,BDL,,,BDL,BDL,,,BDL,,,,0.0065,BDL,0.0065,,BDL,BDL,,,0.0032,0.0088,0.0060,0.0040,BDL,BDL,,,0.0523,0.0486,0.0505,0.0026,BDL,BDL,,,0.0132,BDL
P 177.434 - A,0.0276,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0883,0.0665,0.0774,0.0154,BDL,BDL,,,BDL,BDL
Pb 220.353 - A,0.01,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0273,0.0271,0.0272,0.0001,BDL,BDL,,,BDL,BDL
S 181.975 - A,0.0114,3.4878,3.3762,3.4320,0.0789,3.3861,3.3334,3.3598,0.0373,6.1801,5.9963,6.0882,0.1300,6.1049,6.2516,6.1783,0.1037,9.5703,10.1184,9.8444,0.3876,9.735,9.2635,9.4993,0.3334,365.7808,351.8786,358.8297,9.8303,357.2652,,,,48.9883,48.4691,48.7287,0.3671,50.4692,52.6956,51.5824,1.5743,20.4693,20.2957,20.3825,0.1228,20.4913,21.5189,21.0051,0.7266,22.0697,22.1857,22.1277,0.0820,21.8128,22.7128,22.2628,0.6364,12.1673,11.9742
S 180.669 - A,0.0001,3.7096,3.6003,3.6550,0.0773,3.613,3.5452,3.5791,0.0479,6.5302,6.3019,6.4161,0.1614,6.4351,6.5736,6.5044,0.0979,9.9648,10.552,10.2584,0.4152,10.19,9.6559,9.9230,0.3777,335.0222,344.0634,339.5428,6.3931,348.0435,,,,50.2651,49.0694,49.6673,0.8455,51.4674,53.835,52.6512,1.6741,20.772,20.8223,20.7972,0.0356,21.1436,22.0747,21.6092,0.6584,22.6803,22.7452,22.7128,0.0459,22.3139,22.9756,22.6448,0.4679,12.55,12.3719
Sb 217.582 - A,0.0018,BDL,BDL,,,0.0028,BDL,0.0028,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
Se 196.026 - A,0.0008,0.0079,0.0066,0.0073,0.0009,0.0064,0.0062,0.0063,0.0001,0.0009,0.0061,0.0035,0.0037,0.0061,0.0022,0.0042,0.0028,0.004,0.0034,0.0037,0.0004,0.004,BDL,0.0040,,BDL,0.0018,0.0018,,0.0043,,,,0.0019,BDL,0.0019,,0.0038,0.0038,0.0038,0.0000,0.003,0.0028,0.0029,0.0001,0.0101,0.0062,0.0082,0.0028,BDL,0.0014,0.0014,,0.0057,BDL,0.0057,,0.0028,BDL
Si 251.611 - A,0.0003,6.3483,6.1574,6.2529,0.1350,5.5191,5.3771,5.4481,0.1004,6.4291,6.1966,6.3129,0.1644,5.6388,5.8263,5.7326,0.1326,6.4326,6.8251,6.6289,0.2775,5.9099,5.8098,5.8599,0.0708,1.1438,1.1099,1.1269,0.0240,1.123,,,,5.8969,5.8354,5.8662,0.0435,5.4405,5.6766,5.5586,0.1669,6.962,6.8572,6.9096,0.0741,6.1918,6.4374,6.3146,0.1737,8.0952,8.1478,8.1215,0.0372,5.8004,5.9882,5.8943,0.1328,2.7326,2.658
Sn 189.927 - A,0.0017,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
Sr 460.733 - A,0.001,0.0688,0.0673,0.0681,0.0011,0.0666,0.0643,0.0655,0.0016,0.0839,0.0698,0.0769,0.0100,0.0842,0.0828,0.0835,0.0010,0.0993,0.0938,0.0966,0.0039,0.1037,0.0975,0.1006,0.0044,1.955,2.0247,1.9899,0.0493,1.8803,,,,0.3217,0.32,0.3209,0.0012,0.2865,0.2822,0.2844,0.0030,0.1654,0.1604,0.1629,0.0035,0.1674,0.1652,0.1663,0.0016,0.2051,0.1993,0.2022,0.0041,0.1763,0.1765,0.1764,0.0001,0.0824,0.0796
Ti 334.940 - A,0.0051,0.0337,0.0324,0.0331,0.0009,BDL,BDL,,,0.0282,0.0249,0.0266,0.0023,BDL,BDL,,,0.0273,0.0295,0.0284,0.0016,BDL,BDL,,,BDL,BDL,,,BDL,,,,0.0167,0.0166,0.0167,0.0001,BDL,BDL,,,0.0319,0.03,0.0310,0.0013,BDL,BDL,,,0.0797,0.0841,0.0819,0.0031,BDL,BDL,,,BDL,BDL
Tl 190.801 - A,0.0002,BDL,0.003,0.0030,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,0.0012,0.0012,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
V 292.402 - A,0.0022,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.0028,0.0027,0.0028,0.0001,BDL,BDL,,,BDL,BDL
Zn 213.857 - A,0.0001,0.1583,0.1436,0.1510,0.0104,0.1136,0.1051,0.1094,0.0060,0.3949,0.3794,0.3872,0.0110,0.3101,0.3204,0.3153,0.0073,0.4086,0.4477,0.4282,0.0276,0.3157,0.2935,0.3046,0.0157,0.012,0.0112,0.0116,0.0006,0.0071,,,,0.3677,0.3744,0.3711,0.0047,0.3089,0.3227,0.3158,0.0098,0.4638,0.4528,0.4583,0.0078,0.2556,0.2743,0.2650,0.0132,0.6737,0.6887,0.6812,0.0106,0.1134,0.1135,0.1135,0.0001,0.0648,0.0511
IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Anions] (ppm),,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU1,FU2,AVG,STD,,,,,FU,
F,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.94,0.93,0.94,0.01,,,,,0.22,0.21,0.22,0.01,,,,,0.14,0.12,0.13,0.01,,,,,0.13,0.13,0.13,0.00,,,,,0.38,
Cl,,14.36,14.21,14.29,0.11,,,,,21.41,22.96,22.19,1.10,,,,,31.4,30.49,30.95,0.64,,,,,69.81,70.77,70.29,0.68,,,,,36.99,36.48,36.74,0.36,,,,,33.57,33.57,33.57,0.00,,,,,43.83,44.22,44.03,0.28,,,,,12.39,
NO2(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0.14,0.14,0.14,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,
Br(-),,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,0,0.00,0.00,,,,,0,
