sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,arsenicRaw,arsenic,arsenicIdentifier,aluminumRaw,aluminum,aluminumIdentifier,bariumRaw,barium,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
D38,D-K-38-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,9.69554357,9.69554357,Metalloid,,,Post-Transition Metal,103.082134,103.082134,Alkaline Earth Metal,0.32014388,0.32014388,Alkaline Earth Metal,0.60481615,0.60481615,Transitional Metal,27.4611311,27.4611311,Transitional Metal,440.952338,440.952338,Transitional Metal,19.9721223,19.9721223,Transitional Metal,21.8320344,21.8320344,Post-Transition Metal,116.308153,116.308153,Transitional Metal,60.70004,60.70004,Transitional Metal,"34.50,-112.28",centroid
D39,D-K-39-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,23.8764869,23.8764869,Metalloid,,,Post-Transition Metal,132.514274,132.514274,Alkaline Earth Metal,0.51516653,0.51516653,Alkaline Earth Metal,0.24702617,0.24702617,Transitional Metal,24.0423275,24.0423275,Transitional Metal,607.980868,607.980868,Transitional Metal,17.1988501,17.1988501,Transitional Metal,22.8291039,22.8291039,Post-Transition Metal,83.3645916,83.3645916,Transitional Metal,33.8472443,33.8472443,Transitional Metal,"34.65,-112.28",centroid
D39,D-K-39-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,30.2119587,30.2119587,Metalloid,,,Post-Transition Metal,132.164879,132.164879,Alkaline Earth Metal,0.42555511,0.42555511,Alkaline Earth Metal,0.26678586,0.26678586,Transitional Metal,25.2680771,25.2680771,Transitional Metal,611.893425,611.893425,Transitional Metal,17.6170044,17.6170044,Transitional Metal,16.0200636,16.0200636,Post-Transition Metal,81.8337306,81.8337306,Transitional Metal,36.6383592,36.6383592,Transitional Metal,"34.65,-112.28",centroid
D40,D-K-40-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,3.0674414,3.0674414,Metalloid,,,Post-Transition Metal,117.788339,117.788339,Alkaline Earth Metal,#VALUE!,#VALUE!,Alkaline Earth Metal,0.01003178,0.01003178,Transitional Metal,10.8459476,10.8459476,Transitional Metal,318.069726,318.069726,Transitional Metal,5.86104489,5.86104489,Transitional Metal,4.97983711,4.97983711,Post-Transition Metal,35.6732221,35.6732221,Transitional Metal,35.4126937,35.4126937,Transitional Metal,"34.45,-111.98",centroid
D40,D-K-40-Garden,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,21.2862117,21.2862117,Metalloid,,,Post-Transition Metal,178.625945,178.625945,Alkaline Earth Metal,#VALUE!,#VALUE!,Alkaline Earth Metal,0.37057302,0.37057302,Transitional Metal,31.8281934,31.8281934,Transitional Metal,1363.2696,1363.2696,Transitional Metal,28.7217469,28.7217469,Transitional Metal,25.9585157,25.9585157,Post-Transition Metal,80.7715877,80.7715877,Transitional Metal,55.6757859,55.6757859,Transitional Metal,"34.45,-111.98",centroid
D41,D-K-41-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,322.277057,322.277057,Metalloid,,,Post-Transition Metal,122.385783,122.385783,Alkaline Earth Metal,0.25933506,0.25933506,Alkaline Earth Metal,0.44588658,0.44588658,Transitional Metal,47.4104932,47.4104932,Transitional Metal,829.01238,829.01238,Transitional Metal,39.3551817,39.3551817,Transitional Metal,19.4776857,19.4776857,Post-Transition Metal,163.34999,163.34999,Transitional Metal,70.2077676,70.2077676,Transitional Metal,"34.45,-111.98",centroid
D41,D-K-41-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,373.447473,373.447473,Metalloid,,,Post-Transition Metal,159.87684,159.87684,Alkaline Earth Metal,0.68717668,0.68717668,Alkaline Earth Metal,0.49393156,0.49393156,Transitional Metal,157.449314,157.449314,Transitional Metal,1791.05929,1791.05929,Transitional Metal,86.9890072,86.9890072,Transitional Metal,22.0620275,22.0620275,Post-Transition Metal,134.924045,134.924045,Transitional Metal,85.979805,85.979805,Transitional Metal,"34.45,-111.98",centroid
D45,D-K-45-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,74.1472466,74.1472466,Metalloid,,,Post-Transition Metal,184.539505,184.539505,Alkaline Earth Metal,0.62100958,0.62100958,Alkaline Earth Metal,0.19193935,0.19193935,Transitional Metal,21.7080008,21.7080008,Transitional Metal,578.605247,578.605247,Transitional Metal,20.4187949,20.4187949,Transitional Metal,12.2500998,12.2500998,Post-Transition Metal,69.9675778,69.9675778,Transitional Metal,56.8277135,56.8277135,Transitional Metal,"34.45,-111.98",centroid
D45,D-K-45-Garden,Dewey-Humboldt,Garden Soil,2011-2012,,mg/kg,,31.8956921,31.8956921,Metalloid,,,Post-Transition Metal,98.0457718,98.0457718,Alkaline Earth Metal,0.33556043,0.33556043,Alkaline Earth Metal,0.08775429,0.08775429,Transitional Metal,20.9918229,20.9918229,Transitional Metal,376.703829,376.703829,Transitional Metal,16.5574392,16.5574392,Transitional Metal,6.46848823,6.46848823,Post-Transition Metal,43.1780016,43.1780016,Transitional Metal,29.7006382,29.7006382,Transitional Metal,"34.45,-111.98",centroid
D50,D-K-50-Yard,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,20.7989455,20.7989455,Metalloid,,,Post-Transition Metal,143.436132,143.436132,Alkaline Earth Metal,0.62236371,0.62236371,Alkaline Earth Metal,0.34619976,0.34619976,Transitional Metal,29.6469359,29.6469359,Transitional Metal,720.848189,720.848189,Transitional Metal,20.5405889,20.5405889,Transitional Metal,16.8997214,16.8997214,Post-Transition Metal,78.1105253,78.1105253,Transitional Metal,72.5134302,72.5134302,Transitional Metal,"34.50,-112.28",centroid
D50,D-K-50-Garden,Dewey-Humboldt,Yard Soil,2011-2012,,mg/kg,,16.6286706,16.6286706,Metalloid,,,Post-Transition Metal,145.941667,145.941667,Alkaline Earth Metal,0.43809524,0.43809524,Alkaline Earth Metal,0.28541667,0.28541667,Transitional Metal,44.3928571,44.3928571,Transitional Metal,1149.03214,1149.03214,Transitional Metal,32.6151786,32.6151786,Transitional Metal,131.669742,131.669742,Post-Transition Metal,89.9097222,89.9097222,Transitional Metal,79.4781746,79.4781746,Transitional Metal,"34.50,-112.28",centroid
A06,A-K-6 garden,Apache,Garden Soil,2015-2016,,mg/kg,,2.88,2.88,Metalloid,7829,7829,Post-Transition Metal,207.14,207.14,Alkaline Earth Metal,0.68,0.68,Alkaline Earth Metal,0.21,0.21,Transitional Metal,18.6,18.6,Transitional Metal,234.82,234.82,Transitional Metal,11.32,11.32,Transitional Metal,5.71,5.71,Post-Transition Metal,33.57,33.57,Transitional Metal,18.5,18.5,Transitional Metal,"34.77,-109.60",centroid
A06,A-K-6 yard,Apache,Yard Soil,2015-2016,,mg/kg,,9.28,9.28,Metalloid,9160,9160,Post-Transition Metal,338.11,338.11,Alkaline Earth Metal,1.18,1.18,Alkaline Earth Metal,0.2,0.2,Transitional Metal,24.37,24.37,Transitional Metal,417.21,417.21,Transitional Metal,16.36,16.36,Transitional Metal,6.52,6.52,Post-Transition Metal,43.03,43.03,Transitional Metal,18.44,18.44,Transitional Metal,"34.77,-109.60",centroid
A14,A-K-14 garden,Apache,Garden Soil,2015-2016,,mg/kg,,7.63,7.63,Metalloid,8239,8239,Post-Transition Metal,400.89,400.89,Alkaline Earth Metal,1.18,1.18,Alkaline Earth Metal,0.3,0.3,Transitional Metal,22.42,22.42,Transitional Metal,406.95,406.95,Transitional Metal,12.69,12.69,Transitional Metal,54.7,54.7,Post-Transition Metal,111.19,111.19,Transitional Metal,23.28,23.28,Transitional Metal,"34.54,-109.33",centroid
A14,A-K-14 yard,Apache,Yard Soil,2015-2016,,mg/kg,,9.43,9.43,Metalloid,12246,12246,Post-Transition Metal,1576,1576,Alkaline Earth Metal,0.61,0.61,Alkaline Earth Metal,0.15,0.15,Transitional Metal,19.95,19.95,Transitional Metal,502.72,502.72,Transitional Metal,14.55,14.55,Transitional Metal,13.92,13.92,Post-Transition Metal,68.74,68.74,Transitional Metal,21.4,21.4,Transitional Metal,"34.54,-109.33",centroid
A19,A-19-1 garden,Apache,Garden Soil,2015-2016,,mg/kg,,5.47,5.47,Metalloid,8180,8180,Post-Transition Metal,191.27,191.27,Alkaline Earth Metal,0.74,0.74,Alkaline Earth Metal,0.55,0.55,Transitional Metal,57.6,57.6,Transitional Metal,388.89,388.89,Transitional Metal,23.8,23.8,Transitional Metal,253.82,253.82,Post-Transition Metal,215.35,215.35,Transitional Metal,115.99,115.99,Transitional Metal,"34.32,-109.27",centroid
A19,A-19-2 raspberry patch,Apache,Garden Soil,2015-2016,,mg/kg,,2.83,2.83,Metalloid,8749,8749,Post-Transition Metal,312.47,312.47,Alkaline Earth Metal,0.45,0.45,Alkaline Earth Metal,0.64,0.64,Transitional Metal,21.05,21.05,Transitional Metal,456.99,456.99,Transitional Metal,32.22,32.22,Transitional Metal,66.19,66.19,Post-Transition Metal,178.28,178.28,Transitional Metal,22.84,22.84,Transitional Metal,"34.32,-109.27",centroid
A19,A-19-3 peach trees area,Apache,Garden Soil,2015-2016,,mg/kg,,4.18,4.18,Metalloid,17070,17070,Post-Transition Metal,315.59,315.59,Alkaline Earth Metal,0.8,0.8,Alkaline Earth Metal,0.37,0.37,Transitional Metal,28.21,28.21,Transitional Metal,682.02,682.02,Transitional Metal,40.27,40.27,Transitional Metal,105.81,105.81,Post-Transition Metal,90.54,90.54,Transitional Metal,27.07,27.07,Transitional Metal,"34.32,-109.27",centroid
A19,A-19-4 strawberry patch,Apache,Garden Soil,2015-2016,,mg/kg,,3.67,3.67,Metalloid,17532,17532,Post-Transition Metal,304.07,304.07,Alkaline Earth Metal,1.17,1.17,Alkaline Earth Metal,0.4,0.4,Transitional Metal,22.98,22.98,Transitional Metal,613.24,613.24,Transitional Metal,32.88,32.88,Transitional Metal,27.06,27.06,Post-Transition Metal,78.78,78.78,Transitional Metal,22.29,22.29,Transitional Metal,"34.32,-109.27",centroid
A19,A-19-5 corn patch,Apache,Garden Soil,2015-2016,,mg/kg,,7.04,7.04,Metalloid,9944,9944,Post-Transition Metal,258.34,258.34,Alkaline Earth Metal,0.58,0.58,Alkaline Earth Metal,0.53,0.53,Transitional Metal,29.45,29.45,Transitional Metal,619.17,619.17,Transitional Metal,19.98,19.98,Transitional Metal,47.18,47.18,Post-Transition Metal,115.02,115.02,Transitional Metal,29.65,29.65,Transitional Metal,"34.32,-109.27",centroid
A26,A-K-26 garden A,Apache,Garden Soil,2015-2016,,mg/kg,,2.93,2.93,Metalloid,4992,4992,Post-Transition Metal,171.92,171.92,Alkaline Earth Metal,0.2,0.2,Alkaline Earth Metal,0.41,0.41,Transitional Metal,32.97,32.97,Transitional Metal,381.26,381.26,Transitional Metal,12.4,12.4,Transitional Metal,16.01,16.01,Post-Transition Metal,183.34,183.34,Transitional Metal,44.32,44.32,Transitional Metal,"34.12,-109.27",centroid
A26,A-K-26 garden B,Apache,Garden Soil,2015-2016,,mg/kg,,3.31,3.31,Metalloid,5873,5873,Post-Transition Metal,200.6,200.6,Alkaline Earth Metal,0.16,0.16,Alkaline Earth Metal,0.52,0.52,Transitional Metal,32.04,32.04,Transitional Metal,438.52,438.52,Transitional Metal,13.83,13.83,Transitional Metal,16.8,16.8,Post-Transition Metal,212,212,Transitional Metal,51.89,51.89,Transitional Metal,"34.12,-109.27",centroid
A26,A-K-26 yard,Apache,Yard Soil,2015-2016,,mg/kg,,2.83,2.83,Metalloid,10894,10894,Post-Transition Metal,286.4,286.4,Alkaline Earth Metal,0.61,0.61,Alkaline Earth Metal,0.32,0.32,Transitional Metal,20.66,20.66,Transitional Metal,627.83,627.83,Transitional Metal,51.02,51.02,Transitional Metal,17.83,17.83,Post-Transition Metal,105.9,105.9,Transitional Metal,25.73,25.73,Transitional Metal,"34.12,-109.27",centroid
A23,A-K-23 garden A square,Apache,Garden Soil,2015-2016,,mg/kg,,2.28,2.28,Metalloid,21413,21413,Post-Transition Metal,742.05,742.05,Alkaline Earth Metal,1.39,1.39,Alkaline Earth Metal,0.14,0.14,Transitional Metal,12.42,12.42,Transitional Metal,337.44,337.44,Transitional Metal,9.6,9.6,Transitional Metal,18.82,18.82,Post-Transition Metal,55.06,55.06,Transitional Metal,16.48,16.48,Transitional Metal,"34.77,-109.60",centroid
A23,A-K-23 garden A triangle,Apache,Garden Soil,2015-2016,,mg/kg,,1.94,1.94,Metalloid,4076,4076,Post-Transition Metal,165.57,165.57,Alkaline Earth Metal,0.25,0.25,Alkaline Earth Metal,0.1,0.1,Transitional Metal,18.78,18.78,Transitional Metal,149.59,149.59,Transitional Metal,9.14,9.14,Transitional Metal,4.65,4.65,Post-Transition Metal,38.5,38.5,Transitional Metal,10.8,10.8,Transitional Metal,"34.77,-109.60",centroid
A23,A-K-23 garden B square,Apache,Garden Soil,2015-2016,,mg/kg,,2.01,2.01,Metalloid,16638,16638,Post-Transition Metal,629.49,629.49,Alkaline Earth Metal,1.23,1.23,Alkaline Earth Metal,0.13,0.13,Transitional Metal,9.6,9.6,Transitional Metal,320.06,320.06,Transitional Metal,8.42,8.42,Transitional Metal,17.11,17.11,Post-Transition Metal,51.64,51.64,Transitional Metal,15.45,15.45,Transitional Metal,"34.77,-109.60",centroid
A23,A-K-23 garden B triangle,Apache,Garden Soil,2015-2016,,mg/kg,,2.61,2.61,Metalloid,6688,6688,Post-Transition Metal,160.43,160.43,Alkaline Earth Metal,0.5,0.5,Alkaline Earth Metal,0.09,0.09,Transitional Metal,23.45,23.45,Transitional Metal,155.9,155.9,Transitional Metal,10.75,10.75,Transitional Metal,4.76,4.76,Post-Transition Metal,41.18,41.18,Transitional Metal,11.29,11.29,Transitional Metal,"34.77,-109.60",centroid
C01,C-K-1 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,3.92,3.92,Metalloid,7981.78,7981.78,Post-Transition Metal,100.49,100.49,Alkaline Earth Metal,0.7,0.7,Alkaline Earth Metal,0.33,0.33,Transitional Metal,21.72,21.72,Transitional Metal,589.33,589.33,Transitional Metal,8.02,8.02,Transitional Metal,23.49,23.49,Post-Transition Metal,37,37,Transitional Metal,34.98,34.98,Transitional Metal,"31.42,-110.19",centroid
C01,C-K-1 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,3.48,3.48,Metalloid,8038.38,8038.38,Post-Transition Metal,103.02,103.02,Alkaline Earth Metal,0.69,0.69,Alkaline Earth Metal,0.42,0.42,Transitional Metal,19.91,19.91,Transitional Metal,637.47,637.47,Transitional Metal,8.38,8.38,Transitional Metal,30.66,30.66,Post-Transition Metal,51.92,51.92,Transitional Metal,41.88,41.88,Transitional Metal,"31.42,-110.19",centroid
C03,C-K-3 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,6.92,6.92,Metalloid,7806.54,7806.54,Post-Transition Metal,152.51,152.51,Alkaline Earth Metal,0.65,0.65,Alkaline Earth Metal,0.45,0.45,Transitional Metal,19.45,19.45,Transitional Metal,424.51,424.51,Transitional Metal,8.58,8.58,Transitional Metal,19.72,19.72,Post-Transition Metal,145.51,145.51,Transitional Metal,56.54,56.54,Transitional Metal,"31.57,-110.30",centroid
C03,C-K-3 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,5.76,5.76,Metalloid,5281.56,5281.56,Post-Transition Metal,110.43,110.43,Alkaline Earth Metal,0.63,0.63,Alkaline Earth Metal,0.26,0.26,Transitional Metal,18.72,18.72,Transitional Metal,383.14,383.14,Transitional Metal,6.94,6.94,Transitional Metal,22.46,22.46,Post-Transition Metal,61.48,61.48,Transitional Metal,16.26,16.26,Transitional Metal,"31.57,-110.30",centroid
C05,C-K-5 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,2.76,2.76,Metalloid,10596.47,10596.47,Post-Transition Metal,111.96,111.96,Alkaline Earth Metal,0.76,0.76,Alkaline Earth Metal,0.2,0.2,Transitional Metal,21.96,21.96,Transitional Metal,286.7,286.7,Transitional Metal,9.67,9.67,Transitional Metal,9.7,9.7,Post-Transition Metal,47.67,47.67,Transitional Metal,16.3,16.3,Transitional Metal,"31.54,-110.27",centroid
C08,C-K-8 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,4.14,4.14,Metalloid,6006.23,6006.23,Post-Transition Metal,144.45,144.45,Alkaline Earth Metal,0.52,0.52,Alkaline Earth Metal,0.31,0.31,Transitional Metal,18.59,18.59,Transitional Metal,352.27,352.27,Transitional Metal,6.76,6.76,Transitional Metal,13.07,13.07,Post-Transition Metal,106.72,106.72,Transitional Metal,36.5,36.5,Transitional Metal,"31.41,-110.36",centroid
C08,C-K-8 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,8.92,8.92,Metalloid,21245.34,21245.34,Post-Transition Metal,94.44,94.44,Alkaline Earth Metal,1.29,1.29,Alkaline Earth Metal,0.32,0.32,Transitional Metal,20.94,20.94,Transitional Metal,294.74,294.74,Transitional Metal,9.54,9.54,Transitional Metal,20.73,20.73,Post-Transition Metal,61.38,61.38,Transitional Metal,23.75,23.75,Transitional Metal,"31.41,-110.36",centroid
C10,C-K-10 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,3.51,3.51,Metalloid,10902.41,10902.41,Post-Transition Metal,214.46,214.46,Alkaline Earth Metal,0.51,0.51,Alkaline Earth Metal,0.62,0.62,Transitional Metal,24.1,24.1,Transitional Metal,485.38,485.38,Transitional Metal,11.12,11.12,Transitional Metal,25.91,25.91,Post-Transition Metal,342.66,342.66,Transitional Metal,105.95,105.95,Transitional Metal,"31.41,-110.36",centroid
C10,C-K-10 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,2.33,2.33,Metalloid,7697.03,7697.03,Post-Transition Metal,90.91,90.91,Alkaline Earth Metal,0.78,0.78,Alkaline Earth Metal,0.31,0.31,Transitional Metal,21.17,21.17,Transitional Metal,508.51,508.51,Transitional Metal,6.8,6.8,Transitional Metal,35.9,35.9,Post-Transition Metal,72.91,72.91,Transitional Metal,21.4,21.4,Transitional Metal,"31.41,-110.36",centroid
C11,C-K-11 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,8.77,8.77,Metalloid,11812.11,11812.11,Post-Transition Metal,210.7,210.7,Alkaline Earth Metal,0.83,0.83,Alkaline Earth Metal,0.8,0.8,Transitional Metal,37.12,37.12,Transitional Metal,638.52,638.52,Transitional Metal,22.53,22.53,Transitional Metal,45.36,45.36,Post-Transition Metal,304.48,304.48,Transitional Metal,100.63,100.63,Transitional Metal,"32.38,-109.90",centroid
C11,C-K-11 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,1.87,1.87,Metalloid,8794.92,8794.92,Post-Transition Metal,158.05,158.05,Alkaline Earth Metal,0.71,0.71,Alkaline Earth Metal,0.25,0.25,Transitional Metal,20.98,20.98,Transitional Metal,421.33,421.33,Transitional Metal,9.86,9.86,Transitional Metal,14.37,14.37,Post-Transition Metal,37.8,37.8,Transitional Metal,17.42,17.42,Transitional Metal,"32.38,-109.90",centroid
C12,C-K-12 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,3.26,3.26,Metalloid,8684.75,8684.75,Post-Transition Metal,154.1,154.1,Alkaline Earth Metal,0.98,0.98,Alkaline Earth Metal,1.16,1.16,Transitional Metal,26.21,26.21,Transitional Metal,619.56,619.56,Transitional Metal,10.84,10.84,Transitional Metal,111.51,111.51,Post-Transition Metal,644.7,644.7,Transitional Metal,83.57,83.57,Transitional Metal,"31.41,-110.36",centroid
C12,C-K-12 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,1.82,1.82,Metalloid,6755.6,6755.6,Post-Transition Metal,114.34,114.34,Alkaline Earth Metal,0.85,0.85,Alkaline Earth Metal,0.55,0.55,Transitional Metal,20.81,20.81,Transitional Metal,598.24,598.24,Transitional Metal,5.74,5.74,Transitional Metal,50.98,50.98,Post-Transition Metal,138.86,138.86,Transitional Metal,26.22,26.22,Transitional Metal,"31.41,-110.36",centroid
C13,C-K-13 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,9.92,9.92,Metalloid,13742.68,13742.68,Post-Transition Metal,137.19,137.19,Alkaline Earth Metal,1.26,1.26,Alkaline Earth Metal,0.33,0.33,Transitional Metal,25.49,25.49,Transitional Metal,394.11,394.11,Transitional Metal,13.15,13.15,Transitional Metal,30.12,30.12,Post-Transition Metal,79.08,79.08,Transitional Metal,37.08,37.08,Transitional Metal,"31.48,-110.04",centroid
C13,C-K-13 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,3.24,3.24,Metalloid,7469.58,7469.58,Post-Transition Metal,77.96,77.96,Alkaline Earth Metal,0.9,0.9,Alkaline Earth Metal,0.17,0.17,Transitional Metal,24.63,24.63,Transitional Metal,357.69,357.69,Transitional Metal,8.43,8.43,Transitional Metal,16.43,16.43,Post-Transition Metal,27.49,27.49,Transitional Metal,14.05,14.05,Transitional Metal,"31.48,-110.04",centroid
C15,C-K-15 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,4.63,4.63,Metalloid,10278.43,10278.43,Post-Transition Metal,120.63,120.63,Alkaline Earth Metal,1.01,1.01,Alkaline Earth Metal,0.38,0.38,Transitional Metal,25.93,25.93,Transitional Metal,491.7,491.7,Transitional Metal,10.63,10.63,Transitional Metal,23.68,23.68,Post-Transition Metal,106.3,106.3,Transitional Metal,47.31,47.31,Transitional Metal,"31.49,-110.27",centroid
C15,C-K-15 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,4.39,4.39,Metalloid,6495.5,6495.5,Post-Transition Metal,82.42,82.42,Alkaline Earth Metal,0.64,0.64,Alkaline Earth Metal,2.57,2.57,Transitional Metal,22.19,22.19,Transitional Metal,506.8,506.8,Transitional Metal,7.26,7.26,Transitional Metal,172.28,172.28,Post-Transition Metal,245.33,245.33,Transitional Metal,34.25,34.25,Transitional Metal,"31.49,-110.27",centroid
