variable_name,medium,SPRDIOterm
aluminum,Brassica Vegetables,
aluminum,Bulb Vegetables,
aluminum,Fruiting Vegetables,
aluminum,Herbs,
aluminum,Leafy,
aluminum,Legumes,
aluminum,Other,
aluminum,Root and Tuber Vegetables,
arsenic,,
arsenic,Brassica Vegetables,
arsenic,Bulb Vegetables,
arsenic,Fruiting Vegetables,
arsenic,Fruits,
arsenic,Herbs,
arsenic,Leafy,
arsenic,Legumes,
arsenic,Other,
arsenic,Root and Tuber Vegetables,
barium,,
barium,Brassica Vegetables,
barium,Bulb Vegetables,
barium,Fruiting Vegetables,
barium,Fruits,
barium,Herbs,
barium,Leafy,
barium,Legumes,
barium,Other,
barium,Root and Tuber Vegetables,
beryllium,,
beryllium,Brassica Vegetables,
beryllium,Bulb Vegetables,
beryllium,Fruiting Vegetables,
beryllium,Fruits,
beryllium,Herbs,
beryllium,Leafy,
beryllium,Legumes,
beryllium,Other,
beryllium,Root and Tuber Vegetables,
cadmium,,
cadmium,Brassica Vegetables,
cadmium,Bulb Vegetables,
cadmium,Fruiting Vegetables,
cadmium,Fruits,
cadmium,Herbs,
cadmium,Leafy,
cadmium,Legumes,
cadmium,Other,
cadmium,Root and Tuber Vegetables,
chromium,,
chromium,Brassica Vegetables,
chromium,Bulb Vegetables,
chromium,Fruiting Vegetables,
chromium,Fruits,
chromium,Herbs,
chromium,Leafy,
chromium,Legumes,
chromium,Other,
chromium,Root and Tuber Vegetables,
copper,,
copper,Brassica Vegetables,
copper,Bulb Vegetables,
copper,Fruiting Vegetables,
copper,Fruits,
copper,Herbs,
copper,Leafy,
copper,Legumes,
copper,Other,
copper,Root and Tuber Vegetables,
lead,,
lead,Brassica Vegetables,
lead,Bulb Vegetables,
lead,Fruiting Vegetables,
lead,Fruits,
lead,Herbs,
lead,Leafy,
lead,Legumes,
lead,Other,
lead,Root and Tuber Vegetables,
manganese,,
manganese,Brassica Vegetables,
manganese,Bulb Vegetables,
manganese,Fruiting Vegetables,
manganese,Fruits,
manganese,Herbs,
manganese,Leafy,
manganese,Legumes,
manganese,Other,
manganese,Root and Tuber Vegetables,
nickel,,
nickel,Brassica Vegetables,
nickel,Bulb Vegetables,
nickel,Fruiting Vegetables,
nickel,Fruits,
nickel,Herbs,
nickel,Leafy,
nickel,Legumes,
nickel,Other,
nickel,Root and Tuber Vegetables,
zinc,,
zinc,Brassica Vegetables,
zinc,Bulb Vegetables,
zinc,Fruiting Vegetables,
zinc,Fruits,
zinc,Herbs,
zinc,Leafy,
zinc,Legumes,
zinc,Other,
zinc,Root and Tuber Vegetables,