top5_labid,siteid,stateid,latitude,longitude,colldate,landcover1,landcover2,top5_depth,top5_quartz,top5_tot_k_fs,top5_tot_plag,top5_tot_flds,top5_tot_14a,top5_tot_10a,top5_kaolinit,top5_tot_clay,top5_gibbsite,top5_calcite,top5_dolomite,top5_aragon,top5_tot_carb,top5_analcime,top5_heuland,top5_tot_zeol,top5_gypsum,top5_talc,top5_hornbl,top5_serpent,top5_hematite,top5_goethite,top5_pyroxene,top5_pyrite,top5_other,top5_amorph,top5_ag,top5_al,top5_as,top5_ba,top5_be,top5_bi,top5_c_tot,top5_c_inorg,top5_c_org,top5_ca,top5_cd,top5_ce,top5_co,top5_cr,top5_cs,top5_cu,top5_fe,top5_ga,top5_hg,top5_in,top5_k,top5_la,top5_li,top5_mg,top5_mn,top5_mo,top5_na,top5_nb,top5_ni,top5_p,top5_pb,top5_rb,top5_s,top5_sb,top5_sc,top5_se,top5_sn,top5_sr,top5_te,top5_th,top5_ti,top5_tl,top5_u,top5_v,top5_w,top5_y,top5_zn,geoid,geoid_type
C-339059,5851,AZ,36.1781,-109.0773,04/22/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.36,3.9,740,1.1,0.14,,,,0.58,<0.1,33.7,3.3,10,<5,8.9,0.91,7.3,0.01,<0.02,1.81,17.8,16,0.38,260,0.31,1.07,5.6,6.1,340,17.5,83.9,0.02,0.49,3.5,<0.2,0.7,165,<0.1,5,0.14,0.6,1.2,23,0.6,10.4,20,040019441003,block_group
C-351472,6071,AZ,33.3547,-113.6916,07/11/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.81,13.8,580,1.5,0.23,,,,7.63,0.2,80.1,12.2,44,6,32.1,3.11,12.4,0.03,0.05,1.46,39.4,32,1.37,596,0.84,0.83,11.7,23.7,930,19.2,64.3,0.03,1.16,9.8,<0.2,1.6,234,<0.1,14.1,0.41,0.5,2.6,92,1.8,20.9,70,040270121002,block_group
C-339060,6107,AZ,36.1603,-111.3842,04/21/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.09,4.1,843,1,0.14,,,,4.66,<0.1,37.7,4.5,9,<5,12.6,1.39,5.66,0.01,0.02,1.33,17.9,23,1.1,466,0.22,0.43,5.1,6.3,300,14.5,62.7,0.03,0.54,3.9,<0.2,0.8,242,<0.1,6,0.15,0.4,1.4,32,0.5,11.9,23,040059450001,block_group
C-343374,6319,AZ,34.9656,-113.7029,07/20/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.64,4.7,719,2.3,0.6,,,,2.3,0.1,122,10.9,36,<5,13.4,3.81,13.7,0.02,0.06,2.71,55.6,13,0.57,445,0.87,1.41,24.4,12.2,650,26.6,165,0.01,0.41,7.1,<0.2,4.1,163,<0.1,29.9,0.4,0.7,3.9,69,2.8,33.6,51,040159548002,block_group
C-351664,6391,AZ,33.7672,-113.5579,07/10/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.66,6.2,775,1.7,0.47,,,,4.66,0.2,102,11.3,35,<5,24.1,3.11,14.6,0.01,0.05,2.54,51.5,22,1.11,603,1.11,1.28,15,18.3,850,26.7,94.2,0.03,1.14,9.2,<0.2,4,300,<0.1,17.6,0.35,0.5,3.3,75,2,26.3,65,040120201001,block_group
C-351665,6420,AZ,31.7555,-109.7459,06/23/10,Planted/Cultivated,Fallow,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.52,6,758,1.9,1.37,,,,0.44,0.4,57.7,7.2,16,11,65,2.28,14.7,0.02,0.13,3.63,30.9,28,0.36,944,1.64,1.45,10.5,8.3,390,39.9,169,0.05,0.86,5.1,0.3,2.4,158,0.3,15.2,0.2,1.4,3.4,43,3.5,15.6,98,040030005002,block_group
C-343349,6575,AZ,35.7672,-112.8131,07/22/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.11,6.8,514,1.3,0.27,,,,0.77,0.4,69.6,12.1,53,6,18.3,2.23,11.7,0.03,0.04,1.75,35.2,22,0.54,664,0.92,0.63,12.7,18.2,1060,22,84.3,0.03,0.8,7.8,0.2,1.7,129,<0.1,13,0.28,0.6,3.2,40,1.5,23.6,61,040050023001,block_group
C-351473,6583,AZ,33.8049,-112.0351,07/14/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.36,7.7,667,1.5,0.34,,,,1.71,0.2,65.9,12.2,65,<5,36.3,3.46,12.4,0.02,0.05,1.4,31.9,26,1.26,598,0.66,1.38,10.8,33.6,820,21.9,48,0.02,0.88,11.4,<0.2,1.5,259,<0.1,8.5,0.39,0.4,1.9,88,1.1,16.9,68,040136107001,block_group
C-351666,6612,AZ,34.302,-110.3482,06/30/10,Forested Upland,Evergreen Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.86,6,189,0.6,0.2,,,,0.19,0.2,25.1,2.9,11,<5,10.9,0.75,3.98,0.02,<0.02,0.76,12.8,9,0.09,159,0.77,0.09,3.8,4.7,150,14.1,36.3,0.01,0.45,2.1,0.4,0.7,31.2,<0.1,5,0.12,0.2,1.2,19,1.4,6.9,29,040179642021,block_group
C-339061,6619,AZ,35.4736,-110.6492,04/20/09,Barren,Bare Rock/Sand/Clay,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.75,2.7,567,0.7,0.06,,,,1.04,<0.1,23.2,2.9,8,<5,5.7,0.77,4.5,<0.01,<0.02,1.54,11.8,10,0.38,173,0.16,0.63,4.5,6.8,190,9.9,53.9,<0.01,0.33,2.5,<0.2,0.4,140,<0.1,3.2,0.12,0.3,0.9,21,0.3,7,18,040179400152,block_group
C-351667,6667,AZ,32.2922,-111.347,06/24/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.66,6.5,751,0.1,0.4,,,,0.95,0.3,70.1,10.7,23,10,31.4,2.74,18.1,0.03,0.06,3.11,37.1,33,0.77,786,1.11,1.61,13,14.7,700,28.9,140,0.02,1.8,<0.1,<0.2,1.9,222,<0.1,15.7,0.29,0.8,3.1,58,2.8,19,81,040190044251,block_group
C-351474,6839,AZ,32.8121,-112.3241,07/06/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.36,4.8,508,1.6,0.29,,,,3.7,0.1,62.7,8.1,33,6,20.9,2.53,11.1,0.02,0.05,1.63,29.6,27,0.91,420,0.53,1.25,9.3,17,450,16.8,66.7,0.02,0.7,8,<0.2,1.5,191,<0.1,9.7,0.29,0.5,1.9,56,1.3,17.7,53,040137233061,block_group
C-339062,6875,AZ,35.602,-109.7411,04/19/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.47,3,783,1.4,0.12,,,,1.7,<0.1,42.5,4.6,11,<5,8.9,1.2,8.71,0.01,0.02,1.5,23.4,22,0.51,214,0.3,1.02,8.9,9.9,500,15.3,67.7,0.02,0.48,4.4,<0.2,0.8,229,<0.1,6,0.17,0.5,1.4,30,0.7,11.8,26,040019449022,block_group
C-351669,7060,AZ,33.8263,-109.4923,06/30/10,Forested Upland,Evergreen Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.17,7.1,988,2.8,0.77,,,,1.11,0.3,74.6,25.4,85,8,43.9,5.15,20.1,0.08,0.09,1.92,39.1,31,0.92,2100,1.68,1.18,44.9,42.8,1650,34.4,117,0.04,0.98,11,0.4,2.8,204,0.1,15.7,0.9,0.6,3,102,1.9,19,113,040019705021,block_group
C-351475,7095,AZ,32.8427,-113.4354,07/09/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.74,5.1,825,1.8,0.18,,,,3.09,0.2,57.2,6.2,23,<5,18.2,1.98,11.8,0.01,0.03,1.69,28.3,20,0.73,354,0.7,1.68,10,11.4,580,18.6,67.8,0.02,0.61,5.8,<0.2,1.2,320,<0.1,8.4,0.29,0.4,1.8,53,1,14,42,040270121002,block_group
C-343363,7343,AZ,36.9501,-113.7958,07/26/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.07,3.4,386,0.5,0.08,,,,2.75,<0.1,19.8,3.2,14,<5,7.6,1.13,4.74,0.01,<0.02,1.24,10.2,14,0.63,212,0.4,0.27,3.7,7.5,330,8.5,38.8,0.01,0.3,2.7,<0.2,0.6,102,<0.1,4.6,0.13,0.2,1.1,27,0.4,7,21,040159501002,block_group
C-351670,7380,AZ,34.5154,-109.7206,07/01/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.64,5.3,461,1.5,0.26,,,,0.65,0.2,56.2,8,28,6,23.6,2.71,11.3,0.02,0.04,1.03,30.8,30,0.64,313,0.65,0.14,9.9,12.7,640,20.3,51,0.02,0.84,8,0.2,1.5,104,<0.1,11.9,0.3,0.3,2.5,78,1.1,17.5,37,040019702001,block_group
C-351671,7444,AZ,31.843,-110.96,06/23/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.37,9.1,801,2,0.49,,,,0.77,0.2,82.1,6.4,20,7,33.9,3.16,14.3,0.01,0.06,3.45,44.3,22,0.39,422,3.95,1.35,13,9.4,330,28.8,147,0.02,1.58,7,<0.2,2.2,169,<0.1,17.9,0.33,0.9,3.4,71,2.7,20.6,58,040190041191,block_group
C-351672,7599,AZ,34.9623,-112.1353,07/16/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.26,6.3,510,1.8,0.19,,,,1.11,0.3,63.2,19.3,106,<5,30.8,3.62,13,0.02,0.05,1.27,32.6,26,0.98,759,0.66,0.47,15.7,49.8,740,14.5,56.9,0.02,0.64,11.2,0.3,1.5,145,<0.1,8.5,0.47,0.4,1.7,82,1,17.1,66,040250019001,block_group
C-339064,7607,AZ,34.7421,-111.7904,04/25/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.23,29.1,568,1.6,0.19,,,,3.74,0.4,74.4,48.1,475,5,77.2,8.38,16.4,0.02,0.08,1.01,35.6,18,2.71,1040,0.97,1.01,32.6,195,1380,161,34.6,0.02,1.57,23.4,0.2,2.5,353,<0.1,6.4,1.32,0.2,1.4,268,0.8,19.8,121,040250017022,block_group
C-351673,7636,AZ,32.788,-109.7726,06/29/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.35,1.1,466,1.4,0.29,,,,2.61,0.2,83.4,11.5,38,<5,27.6,3.43,16.4,0.02,0.07,2.31,41.2,15,0.82,708,1.27,1.72,10.7,18.7,670,19.4,101,0.04,0.16,13.6,<0.2,2.4,281,<0.1,12.7,0.42,0.4,2,80,0.6,34.8,55,040099611003,block_group
C-339065,7643,AZ,36.0181,-111.1126,04/20/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.17,1.7,419,0.7,0.07,,,,0.55,<0.1,19.1,2.4,6,<5,6.2,0.64,4.06,<0.01,<0.02,1.23,9.3,9,0.28,160,0.11,0.35,3.3,4.3,160,12.7,43.9,<0.01,0.27,2.2,<0.2,0.5,72.2,<0.1,3,0.09,0.3,0.8,15,0.3,5.7,15,040059451004,block_group
C-343359,7855,AZ,36.991,-112.867,07/26/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.55,2.6,259,0.3,0.05,,,,0.07,<0.1,11.4,1.3,5,<5,4.1,0.41,2.91,<0.01,<0.02,1.56,5.7,7,0.07,126,0.17,0.08,2,4,120,8.8,45,<0.01,0.17,1,<0.2,0.4,30.3,<0.1,1.9,0.07,0.2,0.6,8,0.3,3.3,12,040159501003,block_group
C-351589,7863,AZ,32.5669,-111.758,06/25/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.74,4.3,981,1.7,0.26,,,,0.96,0.1,57.5,5.2,17,<5,19,1.78,11.1,0.01,0.03,2.9,31.3,17,0.43,335,0.79,1.63,8.9,11.1,440,25.9,119,0.01,1.46,5.3,<0.2,1.1,227,<0.1,9.5,0.22,0.6,2,45,1.2,16.3,43,040210021032,block_group
C-339066,7899,AZ,35.3809,-109.0848,04/19/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.9,7.6,588,2.1,0.21,,,,3.52,0.1,61.6,9.7,30,7,20.5,2.42,12.4,0.01,0.04,1.24,30.4,27,1.05,528,0.46,0.41,10.7,17.6,520,18.9,87.3,0.02,0.74,9.5,<0.2,1.6,160,<0.1,11.3,0.28,0.5,2.7,64,1.2,20.2,46,040019450021,block_group
C-351590,7927,AZ,32.5386,-114.5792,07/09/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.73,5.2,499,0.8,0.08,,,,0.88,<0.1,30.6,2.9,7,<5,6.3,0.93,5.75,<0.01,<0.02,1.47,15.2,9,0.29,161,0.27,0.73,4.1,5.3,220,11.1,51.5,<0.01,0.32,2.7,<0.2,0.5,129,<0.1,4.4,0.12,0.3,1.1,25,0.4,7.7,18,040270118001,block_group
C-351674,8084,AZ,33.0267,-109.2619,06/29/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.71,5.5,593,2.4,0.58,,,,1.29,1.1,72.8,18,78,9,277,4.17,20.5,0.03,0.1,2.1,39.3,32,1.03,698,3.04,1.06,17.3,48.2,570,24.5,105,0.03,1,12.5,0.3,2.8,243,0.3,12.3,0.49,0.5,2,89,2,27.2,124,040119601001,block_group
C-343378,8119,AZ,34.4796,-114.2055,07/21/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.77,6.6,686,1.8,0.3,,,,2.09,0.2,98,16.5,83,6,32.4,4.72,15.6,0.02,0.08,2.23,49.5,31,1.57,858,1.12,1.19,19.4,30.5,710,40.6,103,0.02,1.1,13.5,<0.2,2.4,215,<0.1,18.8,0.51,0.6,3,108,2.1,27,85,040159534021,block_group
C-351675,8367,AZ,35.2804,-112.9266,07/18/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.8,3.3,222,0.6,0.13,,,,13.7,0.4,32.6,5.1,21,<5,8.7,0.91,5.11,0.02,0.02,0.64,19.1,11,0.39,238,0.25,0.14,4.5,12.5,450,9.7,30.2,0.02,0.48,3.5,<0.2,0.8,129,<0.1,5.5,0.12,0.2,1.2,20,0.6,13.9,26,040250021002,block_group
C-351676,8439,AZ,34.7547,-113.0005,07/16/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.21,5.8,642,1.8,0.22,,,,0.91,0.2,93.2,21.5,59,6,26.2,2.96,15.5,0.02,0.05,1.42,42.4,27,0.64,862,0.68,0.76,17.3,30.3,440,20.5,80.1,0.02,0.77,10.7,0.2,1.9,130,<0.1,13.1,0.43,0.5,2.7,85,1.4,24.1,60,040250012002,block_group
C-343362,8623,AZ,36.1319,-113.596,07/26/10,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.2,6.8,510,1.2,0.21,,,,0.68,0.4,68.8,8.6,39,<5,15.4,2.06,10.9,0.04,0.03,1.79,33.7,23,0.41,594,1.07,0.74,11.3,15.6,680,18.7,80.5,0.02,0.7,7,0.2,1.5,138,<0.1,9.2,0.3,0.5,2.3,45,1.4,19.2,64,040159501002,block_group
C-339067,8660,AZ,34.691,-111.1113,04/25/09,Forested Upland,Evergreen Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.05,4.7,355,0.9,0.2,,,,0.36,0.2,39,6.4,23,<5,12.9,1.3,5.62,0.02,0.02,1.22,18.5,17,0.29,259,0.89,0.35,7,11.9,270,18.2,46.6,0.01,0.49,4.3,<0.2,1,85,<0.1,6.5,0.21,0.3,1.6,33,0.9,10.5,32,040050015004,block_group
C-351677,8715,AZ,31.9927,-112.8047,07/08/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.95,4.2,942,2.2,0.22,,,,3.51,0.2,83.2,9.8,24,<5,22.2,3.2,17.3,0.01,0.04,2.57,43.5,23,0.88,540,1.28,1.92,23.5,10.9,1070,18.7,89.3,0.02,0.78,7.8,<0.2,2,413,<0.1,12.4,0.55,0.4,2.4,81,1.2,21.8,72,040190052002,block_group
C-351710,8724,AZ,32.338,-110.9103,06/25/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.53,2.1,952,1.9,0.3,,,,0.97,0.1,92.7,4.9,16,6,18.2,2.58,16.7,0.01,0.03,3.08,46.1,20,0.27,843,0.83,2.1,11.4,7.5,350,23.6,123,0.01,0.36,5.1,<0.2,1.6,265,<0.1,17.9,0.21,0.6,2,43,2.1,18.5,51,040190047142,block_group
C-351711,8879,AZ,35.2101,-112.6237,07/18/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.95,4.3,594,1.1,0.21,,,,7.03,0.4,53.1,32.7,197,<5,31.4,4.06,12.3,0.03,0.05,1.27,28.6,23,3.36,864,0.6,0.57,14.5,165,950,16.2,49.1,0.04,0.52,16.2,0.2,1.5,181,<0.1,7.6,0.46,0.3,1.4,91,0.8,17.8,71,040250021001,block_group
C-351591,8887,AZ,33.8607,-111.7032,07/14/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.53,10.2,568,3.2,0.47,,,,1.51,0.1,147,15.5,56,8,24.1,4.78,16.9,0.02,0.08,2.63,60.8,46,0.97,993,1.32,1.89,23.3,31.5,1460,39.2,126,0.02,1.43,12.7,0.2,2.2,263,<0.1,29.9,0.56,0.7,5.3,83,2.7,36.8,103,040130101021,block_group
C-351712,8916,AZ,33.8129,-110.9766,07/03/10,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.63,6.2,250,0.7,0.89,,,,3.35,0.4,27,49.7,147,7,66.5,6.63,15.2,0.06,0.07,0.61,12,30,2.6,1230,0.72,1.29,8.1,151,810,29.9,33.1,0.04,0.49,15,0.3,1.6,325,0.1,2.1,1.08,0.3,0.5,143,0.4,17.8,92,040070007001,block_group
C-351592,9143,AZ,32.8742,-113.2115,07/09/10,Barren,Bare Rock/Sand/Clay,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.03,3.6,699,1.4,0.17,,,,1.83,0.1,45.9,5.8,22,<5,15.8,1.88,9.96,0.01,0.03,2.23,21.9,16,0.67,319,0.61,1.28,8.2,12.5,390,17.6,72.1,0.01,0.56,5.6,<0.2,1,234,<0.1,6.9,0.25,0.4,1.4,51,0.8,11.1,40,040137233052,block_group
C-339068,9179,AZ,36.5904,-110.8902,04/21/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.16,1.6,353,0.6,0.08,,,,0.19,<0.1,19.1,1.9,5,<5,5.2,0.58,3.77,0.01,<0.02,1.44,9.3,11,0.28,150,0.17,0.33,2.8,3.6,240,12.2,47.8,<0.01,0.26,2.1,<0.2,0.6,48.4,<0.1,3.2,0.1,0.3,0.9,13,0.3,5.6,14,040059422023,block_group
C-339070,9259,AZ,36.806,-109.8851,04/22/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.69,2.1,465,0.8,0.06,,,,1.18,<0.1,20.1,2.7,7,<5,6.6,0.74,4.77,<0.01,<0.02,1.7,9.9,18,0.69,194,0.17,0.4,3.2,5,190,10.4,51.7,0.01,0.26,2.9,<0.2,0.6,106,<0.1,3.3,0.1,0.3,0.8,18,0.3,6.4,15,040019426001,block_group
C-343371,9391,AZ,35.5266,-114.2558,07/19/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.12,2.3,755,1.9,0.13,,,,0.87,<0.1,97.8,6.6,25,5,13.4,2.22,15.1,0.01,0.07,3.08,46.4,18,0.5,412,0.57,1.66,13,11.8,390,23.5,98.4,0.01,0.3,11.6,<0.2,2.8,122,<0.1,21.9,0.21,0.7,2.4,36,1.5,23,47,040159504012,block_group
C-351713,9428,AZ,34.9521,-109.5407,07/01/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.78,1.8,535,0.7,0.1,,,,0.35,<0.1,35.3,2.6,7,<5,6.3,0.8,5.86,<0.01,<0.02,1.58,20.1,9,0.16,170,0.25,0.73,4.3,4,120,10.4,60.2,0.01,0.46,1.8,<0.2,0.6,122,<0.1,4.5,0.13,0.3,1.3,23,0.4,7.5,17,040019702001,block_group
C-351714,9463,AZ,34.1119,-112.936,07/13/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.89,1.9,740,1.9,0.18,,,,0.92,<0.1,122,5.8,21,<5,20.9,2.37,13.6,0.01,0.04,3.36,60.4,19,0.37,462,0.56,1.6,21.1,9.2,560,24.5,127,0.01,0.48,6.3,<0.2,1.8,167,<0.1,18.2,0.33,0.7,3,45,0.8,30.6,44,040250014032,block_group
C-343366,9647,AZ,36.5851,-114.0121,07/26/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.83,5.9,462,0.9,0.18,,,,0.53,0.2,66.1,4.8,14,<5,15.8,1.73,9.02,0.01,0.04,1.11,33.7,17,0.36,355,1.32,0.55,7.1,7.5,380,21.1,66.1,0.04,0.53,4.8,<0.2,1.3,75.2,<0.1,10.7,0.15,0.4,2.1,32,0.8,15.6,33,040159501002,block_group
C-351715,9655,AZ,34.3397,-112.6308,07/13/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.9,9.1,1030,1.8,0.28,,,,2.87,0.2,97.6,26.9,255,<5,54.1,4.88,17,0.02,0.07,1.9,49.5,24,1.87,1050,1.03,1.54,30.4,85.5,1740,16.9,59.1,0.02,0.88,17.8,0.2,1.4,864,<0.1,9.6,0.69,0.3,2.5,131,1.4,22.2,94,040250014022,block_group
