top5_labid,siteid,stateid,latitude,longitude,colldate,landcover1,landcover2,top5_depth,top5_quartz,top5_tot_k_fs,top5_tot_plag,top5_tot_flds,top5_tot_14a,top5_tot_10a,top5_kaolinit,top5_tot_clay,top5_gibbsite,top5_calcite,top5_dolomite,top5_aragon,top5_tot_carb,top5_analcime,top5_heuland,top5_tot_zeol,top5_gypsum,top5_talc,top5_hornbl,top5_serpent,top5_hematite,top5_goethite,top5_pyroxene,top5_pyrite,top5_other,top5_amorph,top5_ag,top5_al,top5_as,top5_ba,top5_be,top5_bi,top5_c_tot,top5_c_inorg,top5_c_org,top5_ca,top5_cd,top5_ce,top5_co,top5_cr,top5_cs,top5_cu,top5_fe,top5_ga,top5_hg,top5_in,top5_k,top5_la,top5_li,top5_mg,top5_mn,top5_mo,top5_na,top5_nb,top5_ni,top5_p,top5_pb,top5_rb,top5_s,top5_sb,top5_sc,top5_se,top5_sn,top5_sr,top5_te,top5_th,top5_ti,top5_tl,top5_u,top5_v,top5_w,top5_y,top5_zn,geoid,geoid_type
C-351716,9684,AZ,34.6263,-110.1347,07/02/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.44,4.4,596,1,0.13,,,,4.55,0.1,38.1,6.7,19,9,17.6,1.69,8.33,0.01,0.03,1.47,19.6,20,0.96,453,0.31,0.09,5.7,13.8,400,12.4,68.7,0.03,0.53,5.9,<0.2,1,77.5,<0.1,6.4,0.18,0.3,1.6,48,0.7,12.9,43,040179633003,block_group
C-339071,9691,AZ,36.0281,-110.6989,04/23/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.53,1.8,476,0.7,0.09,,,,0.28,<0.1,26.4,2.6,6,<5,4.7,0.77,4.74,<0.01,<0.02,1.6,12.8,9,0.2,139,0.23,0.41,5,4.2,140,12.8,61.5,<0.01,0.31,2.5,<0.2,0.8,73.3,<0.1,4.4,0.12,0.4,1.2,19,0.4,7.2,15,040179400121,block_group
C-351717,9739,AZ,32.0159,-112.7117,07/08/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.15,3.4,990,2.3,0.18,,,,1.99,0.2,92.3,11,35,<5,15.8,3.36,18.1,0.02,0.05,2.9,48.9,27,0.79,723,1.49,2,22.3,14,710,19.2,99.1,0.02,1.05,8.3,<0.2,2.1,368,<0.1,12,0.54,0.4,2.5,82,1.3,21.9,79,040190052002,block_group
C-351719,9748,AZ,31.7115,-109.0705,06/22/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.27,4.4,381,2.6,0.54,,,,0.49,0.2,49.1,3.6,12,8,23.6,1.09,14.3,0.02,0.04,3.91,28.4,32,0.18,454,0.79,1.52,19.6,5.3,210,27.8,219,0.01,0.6,3,<0.2,2.1,90.3,<0.1,21.8,0.17,0.7,4.3,19,1.7,23.3,35,040030005001,block_group
C-343358,9903,AZ,36.4074,-112.8179,07/25/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.56,3.4,405,1.1,0.2,,,,5.38,0.3,49.1,6.5,36,<5,15.2,1.81,8.39,0.02,0.03,1.57,26.4,20,0.95,448,0.52,0.29,7.3,15.4,840,16.3,64.7,0.03,0.57,5.3,<0.2,1.2,112,<0.1,9,0.19,0.4,2.1,33,0.9,16.7,50,040159501002,block_group
C-351594,9911,AZ,32.8452,-112.3169,07/06/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.77,7.7,593,1.6,0.25,,,,3.1,<0.1,72.3,9.8,34,6,19.8,2.91,12.4,0.01,0.05,2.06,33.2,27,0.97,493,0.46,1.44,10.3,18.4,510,17.1,90.4,0.02,0.58,8.9,<0.2,1.5,232,<0.1,10.6,0.32,0.5,2.1,64,1.3,18.3,51,040137233061,block_group
C-351720,9940,AZ,34.2356,-110.1026,06/30/10,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.29,4.3,291,0.7,0.37,,,,0.24,<0.1,33.5,3.5,15,<5,12.3,0.91,4.68,0.03,0.02,0.96,16.4,12,0.1,300,0.91,0.11,5.1,6,170,18.2,45.7,0.02,0.48,2.3,0.2,0.9,39.1,<0.1,5.6,0.13,0.4,1.5,18,0.7,8,23,040179648002,block_group
C-339072,9947,AZ,35.7967,-109.9901,04/19/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4.78,8.4,629,1.4,0.22,,,,0.61,0.2,46.9,6.7,17,5,12.9,1.7,9.39,0.01,0.03,1.75,23.9,20,0.49,343,0.87,0.71,8.8,9.5,470,20,70.3,0.03,0.86,5.8,<0.2,1.3,145,<0.1,7.9,0.22,0.6,2,55,1,14.3,44,040019449021,block_group
C-351721,10004,AZ,31.37,-110.813,06/23/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.3,1.9,925,1.4,0.24,,,,1.53,<0.1,54.3,5.6,8,6,28.9,1.54,15.1,0.01,0.03,3.42,30,13,0.35,338,1.46,2.44,9.1,4.9,220,15.3,125,0.01,0.85,4.2,<0.2,1.2,380,<0.1,17.5,0.25,0.5,4.7,42,1.7,11.8,31,040239661043,block_group
C-351595,10167,AZ,33.4253,-113.6978,07/11/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.67,6.6,678,1.3,0.2,,,,6.39,0.2,70.5,23.6,91,<5,52.4,5.31,13.5,0.04,0.06,1.56,32.4,28,2.3,985,0.84,1.5,11.7,40,1010,18.2,50.8,0.02,0.9,19.7,<0.2,1.4,434,<0.1,8.5,0.68,0.3,1.9,173,1,19.8,77,040120201003,block_group
C-351722,10315,AZ,32.1853,-112.9212,07/08/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.85,3.4,680,1.6,0.24,,,,1.26,0.1,72.3,8.3,32,<5,18.8,2.61,14.6,0.01,0.04,2.54,38.4,20,0.79,414,0.76,1.48,12.2,14.7,340,19.3,97.3,0.02,0.77,6.6,<0.2,1.5,246,<0.1,14,0.32,0.5,2.7,63,1.3,18.3,55,040190052002,block_group
C-343376,10415,AZ,34.8548,-114.0205,07/21/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.1,3.3,784,2.8,0.33,,,,1.8,0.1,145,9.1,57,<5,12.7,6.66,16.3,0.01,0.07,2.8,62.2,13,0.49,537,1.08,1.75,44.6,11.2,720,28.3,121,0.01,0.31,8.1,<0.2,6.1,231,<0.1,35.1,0.67,0.7,5.7,110,3.7,60.4,52,040159548002,block_group
C-351723,10452,AZ,34.5213,-109.2721,07/01/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.38,1.7,909,1.3,0.25,,,,0.92,0.2,53.7,6.3,12,8,15.9,1.39,11.9,0.01,0.03,1.78,28.7,18,0.74,332,0.4,0.55,9.5,7.3,260,21.7,87.6,0.03,0.7,4.5,<0.2,1.2,202,<0.1,10,0.19,0.5,2.1,35,1,15.7,39,040019702002,block_group
C-351724,10516,AZ,31.8496,-109.9778,06/23/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.11,7.3,523,1.7,0.93,,,,0.99,0.4,53.7,6.8,33,9,29.2,2.15,12.5,0.03,0.06,2.41,28.9,33,0.38,434,1.29,0.48,12.3,13.7,220,35.8,126,0.02,1.33,5.9,0.3,2,86.2,0.1,11.7,0.23,0.8,2.3,40,3.3,17,58,040030004001,block_group
C-343379,10671,AZ,35.4388,-112.6087,07/21/10,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.06,5.6,511,1.3,0.53,,,,2.48,0.8,64.7,18.4,59,6,40.5,3.51,15.2,0.08,0.08,1.19,33,26,0.88,740,0.97,0.5,17.5,29,880,35.5,70,0.08,0.85,11.2,0.4,2.2,158,0.2,10.8,0.39,0.5,2,73,1.2,21.5,82,040050023001,block_group
C-351596,10679,AZ,33.9743,-112.1108,07/14/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6,6.8,721,1.7,0.28,,,,0.9,0.2,75.3,10.3,41,<5,22.1,2.59,12.6,0.03,0.05,2.21,34.8,25,0.65,531,0.78,1.21,10.9,23,320,22.4,81.6,0.02,1.39,9.3,<0.2,1.5,171,<0.1,11.2,0.32,0.5,2.3,54,1.1,18.6,57,040136100001,block_group
C-351725,10708,AZ,34.1524,-109.8926,06/30/10,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.13,5.7,626,1.6,0.44,,,,0.78,0.3,70.7,25.4,186,6,48.7,4.65,12.9,0.04,0.06,1.55,45.8,24,0.56,867,0.96,0.81,25.7,73.1,560,24.7,82.8,0.04,0.78,12.3,0.3,1.9,147,0.1,11.6,0.74,0.5,2.7,77,1.3,26.4,80,040179653003,block_group
C-339073,10715,AZ,35.4628,-110.3788,04/19/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.61,4,683,1.3,0.11,,,,3.11,<0.1,55,14.9,66,<5,16.5,2.73,8.46,0.01,0.03,1.32,26.5,14,1.35,434,0.98,0.82,20.8,44.4,1050,12,46.3,0.02,0.39,8.8,<0.2,1.2,383,<0.1,5.3,0.65,0.3,1.4,83,0.6,14.2,40,040179400152,block_group
C-351597,10763,AZ,32.5284,-111.4498,06/25/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.86,10.8,760,2.2,1.39,,,,1.41,1.4,85.5,13.3,45,21,137,4.36,15.6,0.03,0.12,2.68,41.7,49,0.75,891,2.06,1.57,16.4,22,890,104,128,0.04,2.74,11.1,<0.2,2.5,286,0.2,13.7,0.5,0.7,2.7,95,3.3,25.6,150,040210021033,block_group
C-343355,10927,AZ,36.9415,-112.0597,07/24/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.77,6.5,281,0.8,0.18,,,,6.68,0.3,34.9,4,43,<5,12.9,1.16,6.35,0.01,0.02,1.2,29.2,17,1.93,396,0.6,0.22,2.4,9.8,5990,11.8,48.1,0.04,0.26,4.4,0.4,0.7,327,<0.1,6.7,0.12,0.3,1.6,25,0.6,34.9,48,040050020002,block_group
C-351598,10935,AZ,33.3086,-111.2474,06/17/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.56,15,413,1.4,1.43,,,,2.09,0.3,57.7,32.8,65,6,121,8.44,18.6,0.04,0.12,1.14,25.8,51,1.53,1890,3.68,1.07,11.5,32.6,680,42.5,47.9,0.02,1.26,29.4,<0.2,2,146,0.2,8.3,0.81,0.3,1.4,206,1.6,35.4,113,040210002012,block_group
C-339074,10971,AZ,35.5663,-109.3863,04/19/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.69,3.8,476,1.2,0.2,,,,0.5,0.1,49,5.4,21,<5,12.4,1.35,7.44,0.01,0.03,1.44,23.7,18,0.39,350,0.41,0.6,7.8,8.7,280,17,57.6,0.02,0.52,4.8,<0.2,1,108,<0.1,7.7,0.22,0.4,1.6,35,0.7,12.9,28,040019449013,block_group
C-351726,11156,AZ,34.0074,-109.4851,06/30/10,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.16,6,681,1.9,0.58,,,,1.88,0.3,70.7,40.8,302,<5,52.3,5.84,17.6,0.07,0.08,1.63,42.6,25,1.54,1610,1.62,1.08,38.1,86.9,1080,27.7,68.3,0.04,0.93,18.2,0.3,2.1,218,0.1,11.5,0.77,0.3,2.4,90,1.3,21.7,100,040019705021,block_group
C-351599,11191,AZ,33.279,-113.0388,07/05/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.38,4.7,334,0.9,0.08,,,,6.03,0.1,35.3,43.2,172,<5,60.7,6.47,14,0.03,0.06,0.62,15.4,89,4.7,1070,0.46,1.1,5.9,140,860,10.1,21.8,0.02,0.55,27.9,<0.2,1,292,<0.1,3.5,0.56,0.2,1.1,158,0.7,18.3,94,040130506033,block_group
C-339075,11227,AZ,36.893,-111.4045,04/21/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.11,2.7,242,0.3,0.04,,,,0.78,<0.1,11.3,1.4,3,<5,3.9,0.3,2.13,<0.01,<0.02,0.97,5.6,20,0.39,130,0.06,0.07,1.4,1.7,90,6.4,33,<0.01,0.13,1.5,<0.2,0.5,36.3,<0.1,1.9,0.04,0.2,0.5,8,0.2,3.7,9,040059422011,block_group
C-351728,11476,AZ,34.5013,-109.4319,07/01/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.1,6.3,1040,1.5,0.17,,,,1.14,<0.1,49.9,9.9,17,5,23.9,3.34,15.9,0.02,0.03,3.16,27.3,28,0.68,448,0.93,2.4,9.5,10.5,780,19.7,106,0.02,1.6,5,<0.2,1.2,383,<0.1,10.5,0.33,0.5,2.7,85,1.1,12,72,040019703001,block_group
C-351727,11531,AZ,31.6078,-111.2356,06/24/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.74,3.8,846,1.7,0.23,,,,1.28,0.1,59,9.8,19,10,24.4,2.5,14.5,0.03,0.05,1.7,31.6,32,0.92,366,0.52,0.3,11.2,10.2,390,18.8,78.3,0.04,1.03,8.2,<0.2,1.6,200,<0.1,12.2,0.29,0.5,3.2,60,1.2,22.9,49,040190043163,block_group
C-351730,11540,AZ,31.7787,-110.6447,06/23/10,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.22,5.2,764,1.3,0.38,,,,0.41,0.2,42,4.3,10,7,21.5,1.46,10.4,0.02,0.04,2.75,21.7,22,0.38,425,1.5,1.3,7.3,4.6,330,27,111,0.02,1.25,4.2,<0.2,1.2,141,0.2,9.5,0.17,0.6,2.1,29,1.8,12.5,61,040190041093,block_group
C-343352,11695,AZ,35.92,-111.7448,07/24/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.45,13.8,255,0.9,0.13,,,,1.43,0.6,26.1,4.8,27,<5,11.4,1.41,5.68,0.01,0.02,1.03,17.6,15,0.73,300,1.45,0.14,4.5,12.5,840,13.6,41.4,0.03,0.63,3.8,0.5,0.9,121,<0.1,5,0.12,0.4,1.8,35,0.7,15.3,52,040050022004,block_group
C-351731,11703,AZ,34.4146,-111.789,07/15/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.89,19.3,503,0.9,0.13,,,,8.84,0.3,46.5,35.9,267,9,68.7,5.78,13.6,0.02,0.07,0.78,25.7,19,4.62,1290,0.7,1.07,19.8,143,1320,9.2,29.6,0.04,5.86,23.3,0.2,1,603,<0.1,4.6,0.59,<0.1,1.4,154,0.6,17.4,81,040250015002,block_group
C-351600,11732,AZ,32.9058,-110.4145,06/28/10,Forested Upland,Deciduous Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.72,4.6,674,4.1,0.67,,,,1.12,0.5,88.6,5.5,13,14,48.5,2.13,17.7,0.04,0.07,4.01,40.6,38,0.49,620,1.37,1.5,23.4,8.6,760,35.6,185,0.04,0.81,7,0.2,2.5,173,<0.1,17,0.31,1.1,3.3,37,1.9,27,105,040099616001,block_group
C-339076,11739,AZ,35.6719,-110.9637,04/20/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.66,2.8,808,1,0.07,,,,1.92,<0.1,30,3.5,9,<5,7.4,1.21,6.04,<0.01,<0.02,1.46,14.4,10,0.4,322,0.15,0.97,5.4,6.5,270,13.7,72.6,0.01,0.39,2.7,<0.2,0.6,163,<0.1,4.1,0.17,0.4,1.2,32,0.4,8.6,18,040059451004,block_group
C-343354,11951,AZ,36.6077,-111.8499,07/24/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.45,7.3,364,1,0.14,,,,7.23,0.2,37.4,5.6,25,6,18.7,1.43,8.15,0.02,0.03,1.76,23.8,19,1.24,420,0.53,0.19,5.7,13.4,1610,11,62,0.03,0.53,5.1,<0.2,1.1,332,<0.1,6.9,0.16,0.4,1.8,34,0.8,19.1,38,040050020002,block_group
C-351601,11959,AZ,32.8869,-111.5453,07/06/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.18,6.4,873,2.2,0.23,,,,2.67,0.1,55.1,6.2,14,6,22.2,1.85,13.1,0.01,0.03,2.91,27.8,29,0.8,402,0.6,1.73,9.5,10.8,510,22.4,119,0.03,1.17,6,<0.2,1.3,379,<0.1,9.1,0.22,0.7,1.9,44,1.6,16.3,52,040210012002,block_group
C-351603,12023,AZ,33.0139,-114.232,07/10/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.83,10.1,753,2,0.23,,,,2.29,0.3,60.9,8.8,26,<5,19.6,2.37,13.3,0.02,0.05,2.43,29.4,31,1.07,450,1.11,1.58,10.5,18,780,59,93.6,0.03,1.17,8.3,<0.2,1.4,224,<0.1,10.3,0.28,0.7,2.3,55,1.8,15.8,91,040270121001,block_group
C-343351,12143,AZ,35.9776,-112.8662,07/22/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2.85,16.9,350,0.7,0.17,,,,6.57,0.3,45.4,8.4,29,<5,15.9,1.83,7.35,0.02,0.03,1.16,24.5,16,1.27,660,2.05,0.25,6.5,15.5,940,15.6,52.9,0.04,0.66,4.4,0.3,1.1,111,<0.1,8.5,0.16,0.3,1.9,45,1.1,13.5,49,040050023001,block_group
C-351732,12363,AZ,32.2339,-112.9053,07/08/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.63,5.5,664,1.5,0.43,,,,1.85,0.2,65.5,8.7,31,5,28,2.46,13.8,0.02,0.04,2.61,34.9,25,0.86,425,0.74,1.39,11.1,15.4,740,21.2,104,0.02,1.02,6.6,<0.2,1.4,221,<0.1,11.2,0.3,0.6,2.3,62,1.3,18.3,56,040190052002,block_group
C-351733,12463,AZ,34.8974,-112.9364,07/16/10,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.33,1.8,557,2.6,0.36,,,,0.72,<0.1,111,5.5,12,10,15.5,2.34,15.7,0.02,0.06,3.61,49.3,33,0.36,884,0.61,1.86,28.8,4.2,1100,24,244,0.01,0.13,9.3,<0.2,4,133,<0.1,23.1,0.35,1.3,3.9,29,3.1,34.6,64,040250012002,block_group
C-351734,12535,AZ,34.3957,-112.954,07/13/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.31,2.5,780,2.2,3.28,,,,1.53,0.1,129,17,60,<5,29.4,7.08,17.4,0.01,0.05,3.5,51.6,19,0.71,736,2.98,1.98,28.7,22.7,1030,40.6,124,0.01,0.29,11.1,<0.2,3.3,196,<0.1,20.7,0.58,0.6,4.5,143,1.1,45.9,64,040250012003,block_group
C-343360,12719,AZ,36.441,-113.5953,07/26/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.63,9.4,540,1.7,0.25,,,,2.66,0.4,70.1,10.5,47,7,24.8,3.03,14.1,0.03,0.05,2.03,37,33,0.95,585,0.86,0.69,12.2,23.3,1070,20.2,97.2,0.03,0.89,8.8,0.2,1.7,152,<0.1,13.2,0.3,0.6,2.6,52,1.5,21.2,86,040159501002,block_group
C-351735,12756,AZ,34.4976,-110.9691,07/03/10,Forested Upland,Evergreen Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,3.55,3.4,311,1,0.16,,,,0.57,0.2,30.2,5.4,34,<5,15,1.77,6.96,0.01,0.03,1.17,16.6,21,0.48,324,0.34,0.31,6.9,19,370,12.9,40.3,0.02,0.58,5.4,<0.2,1,94.7,<0.1,4.9,0.21,0.2,0.9,38,0.7,9.2,49,040050015004,block_group
C-351604,12811,AZ,32.4501,-111.745,06/25/10,Planted/Cultivated,Fallow,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.95,6.4,823,3.1,0.31,,,,0.75,0.2,68.6,8.8,17,8,62.6,2.3,16.6,0.01,0.05,3.14,37.6,32,0.7,510,1.9,1.3,11.6,13.8,380,27.9,141,0.02,1.7,8.5,<0.2,2.1,206,0.2,11.2,0.24,0.7,2.5,50,2.4,21.6,78,040190044251,block_group
C-351605,12820,AZ,32.5754,-110.5214,06/27/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.04,5.3,565,2.4,0.83,,,,1.59,0.5,57.6,9.1,17,12,125,2.56,14.5,0.03,0.07,2.48,25.6,35,0.66,511,2.18,1.4,8.6,11.2,1050,29.8,113,0.04,1.43,8.2,0.2,1.8,262,<0.1,7.9,0.33,0.6,1.5,54,2.3,15.5,73,040210024003,block_group
C-351736,12975,AZ,35.2626,-112.4258,07/18/10,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,2,6.4,220,0.6,0.29,,,,0.32,0.2,28.2,4.1,24,<5,10.9,0.91,5.06,0.04,0.02,0.76,15.3,12,0.19,332,1.07,0.24,5.5,7.5,210,17.2,38.7,0.02,0.53,2.7,0.4,0.8,53.2,<0.1,4.1,0.14,0.2,1.3,28,1,7.1,30,040050023003,block_group
C-351606,12983,AZ,33.0738,-111.9797,07/06/10,Planted/Cultivated,Fallow,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,7.06,10.4,719,2.7,0.39,,,,1.4,0.3,72.3,10.5,20,12,45.5,2.51,17.1,0.01,0.05,2.67,34.6,39,0.97,633,1.13,1.24,11.1,15,640,35,133,0.03,1.75,9.7,0.2,1.8,261,<0.1,13.9,0.25,0.8,3,54,2.9,20.6,79,040210017101,block_group
C-339077,13012,AZ,33.4773,-110.851,04/27/09,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.46,6.7,595,1.9,0.41,,,,1.83,0.3,76.8,17.7,36,7,229,4.29,14.3,0.02,0.12,1.55,36.2,22,1.04,864,5.05,1.46,9.3,28.5,1010,50.8,94.8,0.04,1.04,14.1,0.3,3,237,0.4,10.1,0.55,0.5,1.4,100,2.3,21.2,138,040070010001,block_group
